,국가,대학교명,내용,번역,영한_재번역,추출요약,분류,5분류
198,영국,University of Glasgow,"As a major anchor institution of the metropolitan economy, the University of Glasgow is the third-largest employer in Glasgow after the NHS and the City Council, employing over 9,000 people. As a major employer, we have a role to play in leading the way on new and fair ways of working: we are proud to be an Accredited Living Wage employer, committed to equality and diversity in the workplace, and closely monitor staff pay scales for gender, ethnicity and disability pay gaps. We recognise that we have a significant economic footprint, and have measures in place to ensure that our expenditure helps to maximise economic gains by supporting jobs and economic growth. Through our procurement procedures, we proactively engage with contractors and potential contractors to encourage them to also pay the Living Wage to people working on our premises.","글래스고 대학교는 9,000명 이상의 직원을 고용하고 있으며, NHS와 시의회에 이어 글래스고에서 세 번째로 큰 고용주이다. 주요 고용주로서, 우리는 새롭고 공정한 근무 방식에 대한 길을 선도하는 역할을 가지고 있습니다. 우리는 인정된 생활임금 고용주이며, 직장에서 평등과 다양성에 헌신하고 있으며, 성별, 민족성 및 장애 급여 격차에 대한 직원 급여 척도를 면밀히 감시하고 있습니다. 우리는 우리가 상당한 경제적 발자취를 가지고 있다는 것을 인식하고 있으며, 우리의 지출이 일자리와 경제 성장을 지원함으로써 경제적 이득을 극대화하는 데 도움이 되도록 보장하기 위한 조치를 마련하고 있다. 조달 절차를 통해, 우리는 건설업자 및 잠재적 건설업자들과 적극적으로 협력하여 그들이 우리 구내에서 일하는 사람들에게 생활 임금을 지불하도록 장려합니다.","메트로폴리탄 경제의 주요 앵커 기관으로서, 글래스고 대학교는 NHS와 시의회 이후 9,000 명 이상을 고용 한 글래스고에서 세 번째로 큰 고용주입니다.주요 고용주로서, 우리는 새롭고 공정한 업무 방식을 이끌어내는 역할을 수행합니다. 우리는 공인 생활 임금 고용주가되고 직장의 평등과 다양성에 전념하며 직원 급여 규모를 면밀히 모니터링하는 것을 자랑스럽게 생각합니다.성별, 민족성 및 장애 지불 격차.우리는 경제 발자국이 상당한 경제 발자국을 가지고 있음을 알고 있으며, 우리의 지출이 일자리와 경제 성장을 지원함으로써 경제적 이익을 극대화하는 데 도움이되도록 조치를 취하고 있습니다.우리는 조달 절차를 통해 계약자 및 잠재적 계약자와 사전에 참여하여 구내에서 일하는 사람들에게 생활 임금을 지불하도록 장려합니다.", 조달 절차를 통해 계약자 및 잠재적 계약자와 사전에 참여하여 구내에서 일하는 사람들에게 생활 임금을 지불하도록 장려합니다.,8,3
535,뉴질랜드,Auckland universitiy,"Energy Economics Summer SchoolEvery year, the University’s Energy Centre runs the Energy EconomicsSummer School. In 2021, 130 participants attended from bothindustry and tertiary institutions around New Zealand. The eventbrought together expertise from a range of institutions who spokeabout energy transitions, different energy systems (including wind,solar, and hydro), and some of the challenges facing the energysector","에너지경제학 여름학교

매년, 대학의 에너지 센터는 에너지 경제 여름 학교를 운영한다. 2021년에는 뉴질랜드의 산업 및 고등 교육기관에서 130명의 참가자들이 참석했다. 이 행사는 에너지 전환, 다양한 에너지 시스템(풍력, 태양, 수력 등) 및 에너지 부문이 직면한 몇 가지 과제에 대해 연설한 다양한 기관의 전문 지식을 통합했습니다.","에너지 경제학 여름 학습 연도,이 대학의 에너지 센터는 에너지 경제학 학교를 운영하고 있습니다.2021 년에 130 명의 참가자가 뉴질랜드 주변의 산지와 3 차 기관에서 참석했습니다.이 행사는 에너지 전환, 다른 에너지 시스템 (풍력, 태양 광 및 하이드로 포함)을 대변하는 다양한 기관의 전문 지식 및 에너지 렉터가 직면 한 문제 중 일부입니다.","에너지 경제학 여름 학습 연도,이 대학의 에너지 센터는 에너지 경제학 학교를 운영하고 있습니다",7,3
1966,캐나다,Brock University,"COMMUNITY SAFETY ZONES 
Niagara Region is implementing more community safety zones to prevent distracted drivers and reduce speed limits. It also looks at areas of prioritized concern to provide safety on the roads.  ","지역 안전 구역 
나이아가라 지역은 운전자들의 주의를 산만하게 하고 속도 제한을 줄이기 위해 더 많은 지역 안전 구역을 시행하고 있다. 또한 도로의 안전을 제공하기 위해 우선적으로 고려해야 할 영역을 살펴봅니다.",지역 사회 안전 구역 나이아가라 지역은 산만 한 운전자를 방지하고 속도 제한을 줄이기 위해 더 많은 지역 사회 안전 구역을 구현하고 있습니다.또한 도로에서 안전을 제공하기 위해 우선 순위가 높은 영역을 살펴 봅니다., 도로에서 안전을 제공하기 위해 우선 순위가 높은 영역을 살펴 봅니다.,11,3
2025,영국,University of East Anglia,"Public Engagement
Understanding the emotions of fuel vulnerability
Current policies concerning fuel poverty tend to overlook its lived experience, and neglect the everyday experiences and emotions it presents. Researchers within our Science, Society and Sustainability Group alongside UEA’s Centre for Competition Policy explored the emotional engagements of energy vulnerability among social housing tenants. Conducting interviews with both tenants and housing association employees, the study highlighted how fear and worry can shape patterns of energy use and payment, and how care, embarrassment, stigma and trust can facilitate, or prevent, the receipt of support for energy vulnerable households. Crucially, and for the first time, the research showed how emotions are not merely a consequence of energy vulnerability but can also contribute and shape it.","공공 참여
연료 취약성의 감정 이해
연료 빈곤에 관한 현재의 정책은 연료 빈곤의 실제 경험을 간과하고, 연료 빈곤이 제시하는 일상적인 경험과 감정을 무시하는 경향이 있다. UEA의 경쟁 정책 센터와 함께 우리의 과학, 사회 및 지속가능성 그룹 내의 연구원들은 사회적 주택 입주자들 사이의 에너지 취약성의 정서적 참여를 탐구했다. 이 연구는 세입자와 주택조합 직원 모두를 대상으로 인터뷰를 진행하면서 두려움과 걱정이 에너지 사용 및 지급 패턴을 어떻게 형성할 수 있는지, 그리고 돌봄, 당혹감, 낙인, 신뢰가 에너지 취약가구에 대한 지원수령을 어떻게 촉진하거나 예방할 수 있는지를 강조했다. 결정적으로, 그리고 처음으로, 그 연구는 감정이 에너지 취약성의 결과일 뿐만 아니라 그것을 어떻게 기여하고 형성할 수 있는지를 보여주었다.","연료 취약성의 감정을 이해하는 대중의 참여 연료 빈곤에 관한 현재 정책은 생생한 경험을 간과하고 일상적인 경험과 감정을 무시하는 경향이 있습니다.UEA의 경쟁 정책 센터와 함께 과학, 사회 및 지속 가능성 그룹의 연구원들은 사회 주택 세입자 사이의 에너지 취약성의 정서적 참여를 탐구했습니다.임차인 및 주택 협회 직원과의 인터뷰를 수행하면서,이 연구는 두려움과 걱정이 에너지 사용 및 지불 패턴을 형성 할 수있는 방법, 치료, 당황, 낙인 및 신뢰가 에너지 취약한 가구에 대한 지원을 촉진하거나 예방할 수있는 방법을 강조했습니다.결정적으로, 처음으로, 연구는 감정이 어떻게 에너지 취약성의 결과 일뿐 만 아니라 그것을 기여하고 형성 할 수 있는지 보여주었습니다."," 처음으로, 연구는 감정이 어떻게 에너지 취약성의 결과 일뿐 만 아니라 그것을 기여하고 형성 할 수 있는지 보여주었습니다.",7,3
1935,캐나다,Brock University,"EMPLOYMENT AT BROCK  
If you are looking for employment Brock offers a lot of ways in which they can help you.  

You can apply to jobs on campus, where many different opportunities are available, such as at Recreation Services, Union Station, Starbucks, or Tim Hortons, Brock Library, Smart Start, aquatic staff, The Zone, welcome desks, intramurals and various food locations all throughout Brock campus. ","브록에서의 고용  
만약 당신이 직업을 찾고 있다면 브록은 그들이 당신을 도울 수 있는 많은 방법을 제공한다.  

여러분은 레크리에이션 서비스, 유니온 스테이션, 스타벅스 또는 팀 호튼, 브록 라이브러리, 스마트 스타트, 수상 직원, 더 존, 환영 데스크, 교내 및 브록 캠퍼스 내의 다양한 음식 위치 등 다양한 기회가 가능한 캠퍼스의 일자리에 지원할 수 있습니다.","Brock에서의 고용 고용을 찾고 있다면 Brock은 그들이 당신을 도울 수있는 많은 방법을 제공합니다.레크리에이션 서비스, 유니언 스테이션, 스타 벅스 또는 팀 호튼, 브록 도서관, 스마트 스타트, 수생 직원, 구역, 환영 책상, 인내 및 다양한 식품 위치와 같은 다양한 기회가 제공되는 캠퍼스에서 구직에 신청할 수 있습니다.브록 캠퍼스 전체에서.", 캠퍼스 전체에서.,8,3
1291,미국,The University of Texas at Dallas,"Affordable and Clean Energy Locally
Texas is a significant contributor to the United States energy system. According to Green Dallas, Texas is the largest petroleum refiner in the US, produces more than 3 times the natural gas than any other state, and also leads in wind and biodiesel production. Issues with the Texas energy grid made national news in February of 2021 when a disastrous winter storm wreaked havoc on ERCOT and the electric grid. In the future, energy will continue to remain a significant sustainability and accessibility issue. It will be vital for the state of Texas to continue producing renewable energy and be effectively prepared for possible future climate disasters.","지역적으로 저렴하고 깨끗한 에너지
텍사스는 미국의 에너지 시스템에 중요한 기여자이다. 그린 댈러스에 따르면 텍사스는 미국 최대 정유사로 다른 어떤 주보다 3배 이상의 천연가스를 생산하고 있으며 풍력 및 바이오디젤 생산량에서도 선두를 달리고 있다. 텍사스 에너지 그리드 문제는 2021년 2월 ERCOT와 전기 그리드에 재앙적인 겨울 폭풍이 닥쳤을 때 전국적인 뉴스가 되었다. 앞으로도 에너지는 지속가능성과 접근성 측면에서 중요한 이슈로 남을 것이다. 텍사스 주가 재생 에너지를 계속 생산하고 미래의 가능한 기후 재해에 효과적으로 대비하는 것은 매우 중요할 것이다.",저렴하고 청정 에너지 현지 텍사스는 미국 에너지 시스템에 중요한 기여를합니다.Green Dallas에 따르면 텍사스는 미국에서 가장 큰 석유 정유 업체이며 다른 주보다 천연 가스의 3 배 이상을 생산하며 바람 및 바이오 디젤 생산에도 이끌고 있습니다.텍사스 에너지 그리드와 관련된 문제는 2021 년 2 월에 겨울 폭풍이 Ercot과 전기 그리드에 혼란 스러웠을 때 전국 뉴스를 만들었습니다.앞으로 에너지는 지속 가능성과 접근성 문제로 계속 남아있을 것입니다.텍사스 주가 재생 에너지를 계속 생산하고 미래의 기후 재해를 효과적으로 준비하는 것이 중요합니다.,저렴하고 청정 에너지 현지 텍사스는 미국 에너지 시스템에 중요한 기여를합니다,7,3
1700,캐나다,Carleton University,"compared to non certified products.

Limited Unnecessary Purchases
Always try to use surplus products before ordering more. Check out our upcoming surplus sales program “CUrb” program here.","인증되지 않은 제품과 비교합니다.

불필요한 구매 제한
더 주문하기 전에 항상 잉여 제품을 사용하려고 노력하세요. 곧 있을 잉여 판매 프로그램 ""CURB"" 프로그램을 여기에서 확인하십시오.","인증되지 않은 제품과 비교하여.제한된 불필요한 구매는 더 많은 주문을하기 전에 항상 잉여 제품을 사용하려고합니다.다가오는 잉여 판매 프로그램 ""Curb""프로그램을 확인하십시오.", 불필요한 구매는 더 많은 주문을하기 전에 항상 잉여 제품을 사용하려고합니다,7,3
1992,홍콩,The Chinese University of Hong Kong,"Policies
The University strives to provide a safe and healthy working environment to its employees.  Its Safety Policy emphasizes the occupational health and safety of all CUHK members.  The University provides training sessions and safety information to promote safety awareness on campus.","정책들
대학은 직원들에게 안전하고 건강한 근무 환경을 제공하기 위해 노력한다.  그것의 안전 정책은 모든 CUHK 회원들의 직업 건강과 안전을 강조한다.  대학은 캠퍼스의 안전 의식을 증진시키기 위해 교육 세션과 안전 정보를 제공합니다.",정책 대학은 직원들에게 안전하고 건강한 근무 환경을 제공하기 위해 노력합니다.안전 정책은 모든 CUHK 회원의 산업 보건 및 안전을 강조합니다.대학은 캠퍼스에서 안전 인식을 촉진하기 위해 교육 세션 및 안전 정보를 제공합니다., 캠퍼스에서 안전 인식을 촉진하기 위해 교육 세션 및 안전 정보를 제공합니다.,8,3
1651,핀란드,University of Eastern Finland,"Entrepreneurship minor subject at
the Business School.","기업가정신 부전공과목
경영대학원",기업가 정신 비즈니스 스쿨의 미성년자.,기업가 정신 비즈니스 스쿨의 미성년자.,8,3
1669,핀란드,University of Eastern Finland,"The topic of circular economy is also
included in environmental policy
studies.","""순환 경제의 주제는 또한
환경 정책에 포함된
연구.""",순환 경제 주제는 환경 정책 연구에도 포함되어 있습니다.,순환 경제 주제는 환경 정책 연구에도 포함되어 있습니다.,9,3
767,영국,Oxford University,"If you can’t beat them, join them. The fencing at one of our new developments in Vancouver was constantly being vandalized. Recognizing that some of the graffiti art was actually pretty good, our Vancouver Team gave local graffiti artists the fencing as a canvas to share their best work. Currently lining the development site, the artwork will be auctioned off after construction is completed, with all proceeds going to Covenant House Vancouver, in support of street youth.","그들을 이길 수 없다면, 그들과 합류하세요. 벤쿠버에 있는 우리의 새로운 개발 중 한 곳의 펜스가 계속해서 파괴되고 있었다. 일부 그래피티 아트가 실제로 꽤 괜찮다는 것을 인지한 우리 밴쿠버 팀은 지역 그래피티 예술가들에게 최고의 작품을 공유할 수 있는 캔버스로 펜싱을 주었습니다. 현재 개발 부지에 줄지어 있는 이 작품은 공사가 완료된 후 경매에 부쳐질 것이며, 모든 수익금은 길거리 청소년을 지원하기 위해 코벤트 하우스 밴쿠버로 갈 것이다.","당신이 그들을 이길 수 없다면, 그들과 함께하십시오.밴쿠버의 새로운 발전 중 하나에서 펜싱은 끊임없이 파손되었습니다.밴쿠버 팀은 낙서 예술 중 일부가 실제로 꽤 좋았다는 것을 인식하면서 현지 낙서 예술가들에게 최고의 작품을 공유하기위한 캔버스로서 펜싱을 주었다.현재 개발 현장을 정렬하면서 건설이 완료된 후 아트 워크가 경매 될 예정이며, 모든 수익금은 거리 청소년을 지원하기 위해 언약 하우스 밴쿠버로갑니다.", 새로운 발전 중 하나에서 펜싱은 끊임없이 파손되었습니다,11,3
1974,영국,The University of Sheffield,"Firth Court houses twelve portraits from the Heritage Collection, specially selected to inspire future generations and leaders. Other portraits from the collection can be found on display around the University, often in buildings relevant to the sitter’s area of work or study.","퍼스트 코트에는 미래 세대와 지도자들에게 영감을 주기 위해 특별히 선택된 헤리티지 컬렉션의 초상화 12점이 보관되어 있다. 소장품의 다른 초상화들은 대학 주변에 전시될 수 있으며, 종종 시터의 작업이나 연구 영역과 관련된 건물에서 볼 수 있다.","Firth Court는 Heritage Collection에서 12 개의 초상화를 수용하여 미래 세대와 지도자에게 영감을주기 위해 특별히 선정되었습니다.이 컬렉션의 다른 인물 사진은 대학 주변에 전시 될 수 있으며, 종종 시터의 작업 또는 연구 영역과 관련된 건물에서 찾을 수 있습니다."," 컬렉션의 다른 인물 사진은 대학 주변에 전시 될 수 있으며, 종종 시터의 작업 또는 연구 영역과 관련된 건물에서 찾을 수 있습니다.",11,3
1685,핀란드,University of Eastern Finland,"Assistant Professor Santtu Mikkonen
from the University of Eastern
Finland and Academy Postdoctoral
Researcher Panu Karjalainen from
Tampere University study vehicle
emissions. A key question is what
kind of automotive technologies and
fuel choices can reduce the carbon
footprint of private cars while improving
air quality in cities.","산투 미코넨 조교수
동부 대학 출신
핀란드와 아카데미 박사후 과정
연구원 파누 카잘라이넨
탐페레 대학교 연구용 차량
배출들. 중요한 질문은 무엇인가이다.
일종의 자동차 기술과
연료 선택은 탄소를 줄일 수 있다.
자가용 자동차의 설치 면적과 개선
도시의 대기질",동부 핀란드 대학교의 Santtu Mikkonen 조교수와 Tampere University 연구 차량 배출의 아카데미 박사후 연구원 Panu Karjalainen.주요 질문은 자동차 기술과 연료 선택의 종류가 개인 자동차의 탄소 발자국을 줄이면서 도시의 대기 질을 향상시킬 수있는 것입니다., 질문은 자동차 기술과 연료 선택의 종류가 개인 자동차의 탄소 발자국을 줄이면서 도시의 대기 질을 향상시킬 수있는 것입니다.,11,3
1132,파키스탄,National University of Sciences & Technology,"NUST introduces first university-based cloud
service
Organisations around the world continue to depend
greatly on cloud computing for optimal
business operations. For the modern needs of
public and private sector, corporate businesses as
well as the educational sector; a successful cloud
computing service needs unparalleled features of
resource pooling, on-demand self-service, easy
maintenance, large network access, availability,
automatic monitoring and control, and reliable security.
Committed to excellence in these qualities; NUST
has launched NUSTCLOUD; Pakistan’s ﬁrst university-
hosted client-focused service offering broadbased
experience with affordable, customizable
packages. The service is designed to best suit
large and small businesses, startups, educational
institutions, and public sector organizations.","NUST가 최초로 대학 기반 클라우드를 도입하다
서비스
전 세계의 조직들은 계속해서 의존하고 있다.
클라우드 컴퓨팅을 통해 최적화
영업 활동 의 현대적 요구에 대하여
공공 및 민간 부문, 기업 비즈니스
교육 부문뿐만 아니라 성공적인 클라우드
컴퓨팅 서비스에는 다음과 같은 탁월한 기능이 필요합니다.
리소스 풀링, 온디맨드 셀프 서비스, 간편한
유지보수, 대규모 네트워크 액세스, 가용성,
자동 모니터링 및 제어, 신뢰할 수 있는 보안 기능을 제공합니다.
이러한 품질에서 탁월함을 추구합니다. NUST
파키스탄 최초의 대학 NUSCLOUD 출범
호스팅된 클라이언트 중심 서비스 오퍼링의 광범위한 기반
합리적인 가격에 맞춤형으로 사용할 수 있는 경험
꾸러미 서비스가 가장 적합하도록 설계되었습니다.
대기업과 중소기업, 스타트업, 교육기관
기관, 공공 부문 조직.","Nust는 전 세계 최초의 대학 기반 클라우드 서비스 조직이 최적의 비즈니스 운영을위한 클라우드 컴퓨팅에 크게 의존하고 있습니다.공공 및 민간 부문의 현대적인 요구에 대해, 기업 사업 및 교육 부문;성공적인 클라우드 컴퓨팅 서비스에는 리소스 풀링, 주문형 셀프 서비스, 쉬운 유지 보수, 대규모 네트워크 액세스, 가용성, 자동 모니터링 및 제어 및 안정적인 보안의 비교할 수없는 기능이 필요합니다.이러한 자질의 우수성에 전념;Nust는 Nustcloud를 시작했습니다.파키스탄 최초의 대학 호스팅 고객 중심 서비스는 저렴하고 맞춤형 패키지로 광범위한 경험을 제공합니다.이 서비스는 대기업, 신생 기업, 교육 기관 및 공공 부문 조직에 가장 적합하도록 설계되었습니다.", 최초의 대학 호스팅 고객 중심 서비스는 저렴하고 맞춤형 패키지로 광범위한 경험을 제공합니다,9,3
1103,파키스탄,National University of Sciences & Technology,"Sports day celebration at
Aghosh orphanage by NCSC
Members of NUST Community Service Club (NCSC) volunteered
to visit the Aghosh Orphanage and organize a sports gala to
spend quality time with the children. The volunteers engaged the
children in a sports tournament in which they played football with
each other and competed in teams in a friendly competition. The
overall temperament of the NCSC team members helped ensure
a positive environment for the miniature tournament followed by
a photo shoot with props that had been themed around famous
football.","운동회 기념일
NCSC의 아고시 고아원
NUST 커뮤니티 서비스 클럽(NCSC)의 회원들이 자원봉사를 했다.
아그호시 고아원을 방문하여 스포츠 축제를 개최하다
아이들과 알찬 시간을 보내다 자원 봉사자들은 그 일에 참여했습니다
그들이 함께 축구를 했던 스포츠 토너먼트의 아이들
서로가 팀을 이루어 친선 경기를 했다. 그
NCSC 팀 구성원의 전반적인 기질은 다음을 보장하는데 도움을 주었다.
다음에 이어지는 미니어처 토너먼트를 위한 긍정적인 환경
유명인을 주제로 한 소품 사진 촬영
축구의",NCSC (Nust Community Service Club)의 NCSC 회원의 Aghosh Orphanage에서 열린 스포츠 데이 축하 행사는 Aghosh Ogphanage를 방문하고 스포츠 갈라를 조직하여 아이들과 함께 좋은 시간을 보내도록 자원했습니다.자원 봉사자들은 스포츠 토너먼트에서 아이들을 참여시켜 서로 축구를했고 친절한 대회에서 팀과 경쟁했습니다.NCSC 팀원의 전반적인 기질은 미니어처 토너먼트에 대한 긍정적 인 환경을 보장하고 유명한 축구 주변에 주제가 된 소품으로 사진 촬영을 보장하는 데 도움이되었습니다., 봉사자들은 스포츠 토너먼트에서 아이들을 참여시켜 서로 축구를했고 친절한 대회에서 팀과 경쟁했습니다,10,3
