,국가,대학교명,내용,요약,요약번역,분류,5분류
830,태국,Chulalongkorn,"Managing risks associated with water resources isessential to alleviate damage and the consequencesof natural disasters such as flooding and drought, andto increase agricultural productivity to ensure foodsecurity for the country.Several water resources management modelsfocusing on water security, consumption and qualitywere highlighted at a forum titled “Water Diplomacy:Where Local Wisdom Meets International Excellence”.The event was jointly organized by ChulalongkornUniversity and the Office of the National WaterResources (ONWR) in November 2019. One of the innovations presented by theuniversity was a risk map showing the vulnerability ofwater sources to contamination, from surface water togroundwater, which will eventually affect waterquality. The information can assist in city planning andcan reduce the risk of water from problem areas beingused in agriculture and industry",Water is one of Thailand's most important natural resources., 물은 태국의 가장 중요한 천연 자원 중 하나입니다.,6,2
887,네덜란드,Erasmus MC,"carbon footprint
The first measurements to get an impression of  carbon
footprint were made in 2020. This was determined for the year 2019
and this will be the baseline value for Erasmus MC from which we
will aim to achieve our carbon reduction objectives. The footprint
amounted to 95,987 tons of CO2. In 2021, a new measurement will be
performed for the year 2020, which will also take into account the
impact of the COVID-19 pandemic.",The University of Groningen has started a project to measure the carbon footprint of its buildings., 흐로닝언 대학교는 건물의 탄소 발자국을 측정하는 프로젝트를 시작했습니다.,13,2
1304,영국,Exeter,"Exeter research is building  knowledge and understanding and helping to shape    conservation and species management for the future. Some recent examples include transformational outcomes to address the threat which the decline of bee pollinator populations pose to global food production and to insect and plant diversity. Research on bee pollinators ’ sensitivity to certain pesticides and tolerance to others has been translated into tools (the BeeSafe toolkit) which have been used by Bayer, a world leading agrochemical company, to: rapidly screen for and accelerate  the  development  of  new  insecticides  that  have  low  toxicity  to  bees;  predict and avoid harmful pesticidepesticide interactions; and support registration of specific pesticide combinations that are safe for bees. The BeeSafe toolkit was integral to Bayer receiving regulatory approval for a new insecticide in Germany with benefits to pollinators and production.",The Department of Entomology at the University of Exeter is at the forefront of research into the effects of pesticides on bees and other pollinators., 엑서터 대학의 곤충학과는 벌과 기타 수분 매개체에 대한 살충제의 영향에 대한 연구의 최전선에 있습니다.,15,2
423,영국,Manchester,"Marine and ConservationProgrammeOur students can volunteer on a Marineand Conservation Programme run byone of the volunteer hubs’ internationalpartners, Travelteer. The programmeaims to rehabilitate and conserve theenvironment and marine life in Sri Lanka.",Sri Lanka is one of the world’s most important habitats for marine life., 스리랑카는 세계에서 가장 중요한 해양 생물 서식지 중 하나입니다.,14,2
1378,캐나다,Manitoba,"Rainwater, drinking water, weather, climate, coastlines, much of our food, and even the oxygen in the air we
breathe, are all ultimately provided and regulated by the sea. The University of Manitoba provides students
with the opportunity to learn about and research sustainable marine ecosystems and resources through the
following initiatives:",The sea plays an important role in our daily lives., 바다는 우리의 일상 생활에서 중요한 역할을 합니다.,14,2
1622,캐나다,Carleton,"Carry a reusable water bottle
Bottled water costs consumers 240 to 10,000 times more per gallon than tap water. Additionally, bottling water comes with tremendous environmental and social costs. Save yourself some money and help save the planet by bringing your own water bottle everywhere.","Water is one of the most precious resources on the planet, but it is also one of the most expensive.", 물은 지구상에서 가장 귀중한 자원 중 하나이지만 가장 비싼 자원이기도 합니다.,6,2
1156,캐나다,Western,"Marine Biology Field Course
Students who wish to learn more about marineenvironments can enroll in an
EnvironmentalStudies in Marine Biology field course
at the Bayof Fundy in New Brunswick. Students studymarine birds, mammals, and fish as their leanimportant oceanographic field techniques andthe impact that human activities have had on thisecosystem. Students are also able to developseveral skills including oceanographic sampling,surveying, organism identification, quantitativeecological sampling, experimental design, andfundamental data analysis.",The Bay of Fundy is one of the most important marine habitats in Canada., 펀디만은 캐나다에서 가장 중요한 해양 서식지 중 하나입니다.,14,2
1985,아일랜드,NUI Galway,"Students and Learning
NUI Galway offers a number of modules and
programmes focused on water resources
engineering and water resources management.
For example, students are introduced to the
topic of Clean Water and Sanitation in the
Water Engineering Design and Practice module,
where the importance of water and wastewater
purification (both natural and engineered) are
portrayed. This module is taught alongside
Environmental Engineering, which has a focus
on the importance of ‘pollution swapping’ and
greenhouse gas emissions in the design of
wastewater treatment systems. Through our
module in Hydrology and Water Resources
Engineering, students learn about the natural
processes that control water resource
availability and quality and how to assess a
waterbody’s suitability for water extraction
or effluent discharge. Design of Sustainable
Environmental Systems I and II focusses on
the design of such systems with an emphasis
on energy efficiency and recovery. Our Master
of Engineering in Civil Engineering offers a
water stream where students can take modules
specifically focused on water engineering and
management; in the Water Quality module, for
example, students gain advanced understanding
of the stressors that can affect water quality in
rivers and lakes and learn how to build models
to simulate the effects of wastewater effluent
on water quality. With modules on the Water
Framework Directive, Freshwater Acidification
and Water Quality, our recently launched
Masters in Marine and Freshwater Resources:
Management is focused on understanding
management in marine and freshwater
environment in the context of global change.","Water is one of the world’s most important natural resources and, as such, its importance is growing.", 물은 세계에서 가장 중요한 천연 자원 중 하나이며 그 중요성이 커지고 있습니다.,6,2
729,영국,Oxford,"We’ll continue to implement the Waste Strategy We’ll continue to roll out the University Waste Management Strategy across departments, through the Waste Implementation Group","As part of the University's ongoing commitment to waste management, we've launched a new website.", 폐기물 관리에 대한 대학의 지속적인 노력의 일환으로 우리는 새로운 웹사이트를 개설했습니다.,12,2
159,영국,Glasgow,"Our School of Geographical & Earth Sciences offers programmes that contribute to SDG 6. These include our Sustainable Water Environments MSc, which equips students with an interdisciplinary and global perspective on different surface water environments, incorporating issues such as climate and land use change, flood risk, restoration, ecosystem health, and associated management perspectives. Our MSc in Environmental Futures: Sustainable Solutions also incorporates recent advances in ecology and the restoration of river, coastal and lake environments, and teaching includes case studies of managing, protecting and restoring water systems.",Water is one of the world's most important natural resources., 물은 세계에서 가장 중요한 천연 자원 중 하나입니다.,6,2
163,영국,Glasgow,"Access to clean water and treatment of wastewater are important components of public health. In many developing countries, water management and treatment have been improving, but the costs of water and sewage management can be prohibitive. Our Glasgow Centre for International Development is working with local communities, policymakers, industry partners and research teams in countries throughout the Global South to develop solutions that are robust, locally adapted and scalable.",Water is one of the world's most important natural resources., 물은 세계에서 가장 중요한 천연 자원 중 하나입니다.,6,2
1426,홍콩,Hong Kong,"Global clean water supply remains a huge challenge around the globe. As estimated by UNICEF, by 2040, one in four of the world’s children under 18 will be living in areas of extremely high water stress. To ensure safe and resilient water supplies, HKU’s Centre for Water Technology and Policy (CWTP) addresses issues such as the region’s water resource management and water-use efficiency through interdisciplinary research and teaching.",Water is one of the world’s most important natural resources., 물은 세계에서 가장 중요한 천연 자원 중 하나입니다.,6,2
1891,홍콩,CUHK,"Although humans cannot live without water, many countries struggle to provide a clean water supply.  CUHK endeavours to incorporate sustainability in every aspect of campus life and ensure the sustainable use of water resources.  Water conservation is built into the university’s daily operations.  Clean drinking water is provided free of charge on campus, and is easily accessible.",Water is one of the most important natural resources in the world., 물은 세계에서 가장 중요한 천연 자원 중 하나입니다.,6,2
34,캐나다,Waterloo,"ENSURE AVAILABILITY AND SUSTAINABLE MANAGEMENT OF WATER AND SANITATION FOR ALL
Improving access to safe and affordable drinking water and sanitation services is the goal of SDG 6. This includes addressing sources of pollution, increasing water-use efficiency, improving water resource management, and ensuring healthy water-related
ecosystems. The University of Waterloo’s Water Institute addresses many of these issues in the Canadian and global context.",Water is one of the world’s most important natural resources., 물은 세계에서 가장 중요한 천연 자원 중 하나입니다.,6,2
1007,영국,Essex,"We know that there is no alternative to water.
Reducing and making efficient use of it is vital;
fresh water is a precious resource and it takes
energy to use and distribute it.",Water is one of the most important natural resources in the world., 물은 세계에서 가장 중요한 천연 자원 중 하나입니다.,6,2
51,캐나다,Waterloo,"Understanding Climate through Games
Illuminate and Energize are games designed to help community members and the public learn about climate change. Illuminate teaches about the impacts of climate change and explores ways to reduce greenhouse gas emissions and respond to climate risks. The Energize game is a resource designed for local community partners to think about climate change and energy planning in Waterloo Region.",Two games designed to help community members and the public learn about climate change have been launched in Waterloo Region., 커뮤니티 구성원과 대중이 기후 변화에 대해 배울 수 있도록 설계된 두 가지 게임이 워털루 지역에서 출시되었습니다.,13,2
426,영국,Manchester,"Improving soil quality in ChinaA third of the world’s soils are degradedand this problem is particularly bad indeveloping countries where soil erosioncan cause a decline in food productionand ultimately, extreme poverty. Onesuch hotspot of soil degradation isthe Qinghai-Tibetan plateau in China,where half of the eight million peoplelive in poverty, largely due to widespreaddegradation of the grasslands.Researchers at our Soil and EcosystemEcology Laboratory aim to restorefertility to these soils and enhance theirability to safeguard against climatechange by increasing plant diversity,which has been shown to improve soilhealth in the UK.","Our research aims to improve the quality of soils in China, one of the world’s poorest countries.", 우리의 연구는 세계에서 가장 가난한 국가 중 하나인 중국의 토양 품질을 개선하는 것을 목표로 합니다.,15,2
527,뉴질랜드,Auckland,"Reef whisperer / The United Nations has called for urgent research into oceans made evernoisier by shipping, fishing, recreational boating, dredging, geophysicalsurveying, oil drilling and sonar. The underwater eavesdropping byAssociate Professor Craig Radford and his colleagues at the Universityof Auckland’s Leigh Marine Laboratory in the Hauraki Gulf is helping toreveal the blue world in a fashion similar to satellites giving insights intoEarth’s terrestrial features. Craig’s work is significant for three reasons:a) fleshing out our knowledge of the lives of individual marine species,which can ultimately aid in managing and protecting marine ecosystemsand fish stocks; b) discovering more about the threat posed to marinelife by human-generated noise, especially from increasing ship and boattraffic; and c) learning how to use sound as a tool for monitoring or evenreviving marine environments.",Scientists in New Zealand are using underwater microphones to eavesdrop on marine life., 뉴질랜드 과학자들이 수중 마이크를 사용하여 해양 생물을 도청하고 있습니다.,14,2
281,호주,RMIT,"On the Road to Circular Economy
Researchers from the School of Engineering have shown how a
blend of old tyres and building rubble could be used as a sustainable
road-making material, in a zero-waste solution to boost recycling
and support the circular economy. Construction, renovation and
demolition account for about half the waste produced annually
worldwide, while around 1 billion scrap tyres are generated globally
each year. The new material is the first to combine recycled rubble and
rubber in a mix that is precisely optimised to meet road engineering
safety standards. Designed to be used for base layers, the recycled
blend is more flexible than standard materials, making roads less
prone to cracking. Traditional road bases are made of unsustainable
virgin materials – quarried rock and natural sand. This new blended
material is a 100% recycled alternative that offers a new way to reuse
tyre and building waste, while performing strongly on key criteria like
flexibility, strength and permanent deformation.",A new material made from scrap tyres has been developed by researchers at the University of Bristol., 스크랩 타이어로 만든 신소재가 브리스톨 대학의 연구원들에 의해 개발되었습니다.,12,2
903,캐나다,McMaster,"Why do almost a billion people go without daily access to safe water?
How does climate change affect water-borne illness? And why does
half the world’s population go without adequate sanitation? The
Water Without Borders program at McMaster seeks to answer these
questions and more. ",Water is one of the world’s most fundamental human rights., 물은 세계에서 가장 기본적인 인권 중 하나입니다.,6,2
241,캐나다,Concordia,"RESEARCH ON THE LIFESPAN OF
CONSUMER PRODUCTS
Originating from a major three-year research-creation
team project involving Professor Martin Racine, the DNA
project undertook a sustained reflection on the Future Life
of Objects. The project imagines a future world where even
manufactured objects encode their own genetic information,
as with DNA. Embedded with this information, objects reveal
the environmental impacts resulting from their fabrication
and consumption.
The METAMORPHOSE project, also led by Professor Racine,
aimed to design new products while anticipating their eventual
transformation, either by personalizing or updating their
function or style with rapid prototyping in order to give them
new life. The aim is to extend products’ lives by offering an
alternative to the planned aesthetic and technical obsolescence
that prevails today.",Two research projects have been carried out at the University of Groningen.,흐로닝언 대학교에서 두 가지 연구 프로젝트가 수행되었습니다.,12,2
1208,호주,Victoria,"Engagement
Victoria University research team, led
by environmental scientist Dr Christine
Connelly, is working with Bass Coast
Shire Council and Phillip Island Nature
Parks to minimise the high number of
wildlife killed on a Phillip Island road
by the installation and trial of a virtual
fence . The fence, consisting of a
series of flashing lights and alarms
triggered by a car’s headlights, deters
animals from approaching the road
and being hit by vehicles.",A virtual fence designed to deter animals from being hit by cars is being trialled in Victoria., 동물이 자동차에 치이는 것을 방지하기 위해 설계된 가상 울타리가 빅토리아에서 시범 운영되고 있습니다.,15,2
1643,캐나다,Carleton,Carleton University offers several locations that operate the E-waste Recycling Program which provides environmentally friendly and secure disposal of e-waste free of charge. See the following list of Carleton’s accepted e-waste items list.,"E-waste, also known as electronic waste, is the collection and recycling of computer and other electronic equipment.", 전자 폐기물이라고도 하는 전자 폐기물은 컴퓨터 및 기타 전자 장비를 수거하고 재활용하는 것입니다.,14,2
550,뉴질랜드,Auckland,"GREEN BUILDINGSustainable design and building principles are incorporated into allUniversity developments. The new Science Centre building is a primeexample of sustainable design. The high-tech facade with double glazingand sophisticated, energy-efficient heating, cooling and air handlingsystems minimises heating and cooling requirements, and comprehensivemetering tracks and corrects inefficient use of energy and water. Recent‘tuning’ of the building to ensure all systems like lighting and ventilationoperate at maximum efficiency has led to energy savings of 6.2%, andgiven the building a higher NABERSNZ rating (a system for rating the energyefficiency of office buildings in New Zealand).",The University of Auckland is one of the most sustainable universities in New Zealand., 오클랜드 대학교는 뉴질랜드에서 가장 지속 가능한 대학교 중 하나입니다.,12,2
1296,영국,Exeter,Avoiding dangerous climate change is the central goal of the United Nations Framework Convention on Climate Change (UNFCCC). Research by Professor Tim Lenton and colleagues has identified how the risks posed by climate tipping points increase with global warming. This has influenced public policy both nationally and internationally by providing: vital evidence underpinning goals to limit global warming to well below 2°C; up to >8fold increased estimates of the social cost of carbon; adaptation advice to governments on tipping point risks and early warning systems.,Climate change is one of the most important issues facing the world today., 기후 변화는 오늘날 세계가 직면한 가장 중요한 문제 중 하나입니다.,13,2
1640,캐나다,Carleton,"At Carleton, we offer several e-waste recycling programs for all Carleton community members to recycle their computers, monitors and electronic accessories responsibly.",E-waste recycling is a great way to reduce your impact on the environment., 전자 폐기물 재활용은 환경에 미치는 영향을 줄이는 좋은 방법입니다.,14,2
714,영국,Oxford,"Automated metering systems will cover more electrical and gas meters. Estates Services will ensure heating system replacements deliver maximum energy savings. Lighting systems and controls will deliver excellent quality and energy efficiency. New buildings and major refurbishments will be monitored for up to 3 years after they’ve been commissioned, to ensure they are functioning correctly",Energy efficient systems will be installed in new buildings and major refurbishments will be carried out., 에너지 효율적인 시스템이 새 건물에 설치되고 주요 보수 작업이 수행됩니다.,13,2
893,네덜란드,Erasmus MC,"The renovation of building Ca was completed in 2020. The building has received a Class A energy label.
An important project is improving the use of the heat pump; the supply area will be increased by
making a connecting pipeline for heating between Building Ee and Eg. This project was started in 2020
and will be completed in 2021. It will result in savings in the use of district heating. Major maintenance
work was carried out in the summer on the steam boilers in Building Ee. The steam boilers are now
equipped with new control technology and several pumps are now speed controlled. The monitoring of
the boiler house process has also been improved. The steam boilers are the largest energy consumers
in the hospital and provide humidification.
In May 2019, special software that will allow office spaces to be used as efficiently as possible was
put into service. The insight gained from this software will lead to a reduction in the number of office
workstations. The implementation of the software means that the demolition of Building Z can start
earlier than planned.",A number of projects have been carried out to improve the energy efficiency of the hospital., 병원의 에너지 효율성을 개선하기 위해 많은 프로젝트가 수행되었습니다.,13,2
57,캐나다,Waterloo,"PROTECT, RESTORE AND PROMOTE SUSTAINABLE USE OF TERRESTRIAL ECOSYSTEMS, SUSTAINABLY MANAGE FORESTS, COMBAT DESERTIFICATION, HALT AND REVERSE LAND DEGRADATION, AND HALT BIODIVERSITY LOSS
Protecting and restoring land-based ecosystems, including freshwater ecosystems, is the focus of SDG 15. The University of Waterloo not only works to protect the ecosystems found on its campus but also has research, educational, and outreach
        programs to promote environmental sustainability.",The University of Waterloo has been named one of Canada's top universities for environmental sustainability., 워털루 대학교는 환경 지속 가능성 부문에서 캐나다 최고의 대학교 중 하나로 선정되었습니다.,15,2
1172,영국,Northampton,"The ecological needs of our site are at the
forefront of all our land management practices;
our sustainable methods of management aim
to increase and sustain biodiversity and create
suitable habitats for an array of flora, fauna
and wildlife.",All of the land on which we operate is managed in accordance with the highest environmental standards., 우리가 사업을 운영하는 모든 토지는 가장 높은 환경 기준에 따라 관리됩니다.,15,2
144,스위스,ETHzurich,"Since September 2020, reBOXes have been available – and returnable – at nearly
all canteens and eateries throughout ETH Zurich.
The bowls come with a tightly sealing lid, aredishwasher-proof,andcanbemicrowaved.Witha distinct aubergine colour, they are green by nature, far surpassing disposable dishes as they can be reused at least 100 times. Each is given an industrial-grade scrubbing before being returned to circulation. If all 35,000 students and staff at ETH Zurich were to use such a box instead
of a throwaway container just once a week, that would save 50 tonnes of plastic every year. Nationwide, the reCIRCLE partners account for 50,000 disposable containers saved every day.",One of Switzerland's leading universities has become the first in the country to offer aubergine bowls made from recycled plastic., 스위스 최고의 대학 중 하나가 재활용 플라스틱으로 만든 가지 그릇을 제공하는 최초의 국가가 되었습니다.,12,2
1118,일본,Sophia,"Green infrastructure Research
Tsuge Takahiro, Professor
Graduate School of Global Environmental Studies, Master’s (Doctoral) Program in
Global Environmental Studies
【Abstract】
As the number of natural disasters such as fl oods and landslides increases with the
progress of climate change, it is becoming more and more important to develop
infrastructure for disaster prevention and mitigation. Against this backdrop, green
infrastructure, which utilize the functions of nature to cope with such disasters, has
been attracting attention. Green infrastructure not only has a smaller impact on
ecosystems and landscapes than artifi cial infrastructure (gray infrastructure) such
as dams, but is often less expensive to build and to maintain in the future. I study
the cost-effectiveness of the so-called “ecosystem-based disaster risk reduction:
Eco-DRR” that utilizes green infrastructure from an economic perspectiv e.
【Future prospects】
My research focuses on flood control using forests and retarding basin against
river fl ooding caused by heavy rainfall due to climate change. I plan to expand my
research to include green infrastructure against a wider range of natural disasters.
https://linkinghub.elsevier.com/retrieve/pii/S2212420917301930",My research focuses on flood control using forests and against river fl ooding caused by heavy rainfall due to climate change., 저의 연구는 산림을 이용한 홍수조절과 기후변화로 인한 집중호우로 인한 하천 범람에 대한 것입니다.,13,2
492,뉴질랜드,Auckland,"Changes to University steam supply / Previously, the University’s Faculty of Medical and Health Sciencesprocured its steam supply from the nearby public hospital, where it wasgenerated using gas-fired boilers. This has recently been transitionedto an electrically powered internal system. Not only does this improveenergy efficiency in that there are significantly reduced distributionlosses due to the shorter distance the steam must travel, it is alsoexpected to result in greater carbon efficiency because the University’selectricity suppliers do not generate power using fossil fuels.",The University of Bristol is one of the UK’s most energy-efficient universities., 브리스톨 대학교는 영국에서 가장 에너지 효율적인 대학교 중 하나입니다.,13,2
522,뉴질랜드,Auckland,"Saving energy / In 2019, the University used just under 97,500,000 kWh of energy,which is equivalent to 154 kWh of energy per square metre of grossfloor area, or just under 3,000 kWh per full-time equivalent student.84 percent of the electricity supplied to and used by the University wasgenerated using renewable sources, specifically hydro (60.4 percent),geothermal (17.4 percent), wind (4.7 percent), biogas and wood(1.3 percent), and solar (0.2 percent). Of the energy used in buildings,58 percent was generated from renewable resources. The Universityhas been monitoring, measuring and working to reduce energy use for40 years. It saves energy by including energy-efficient operating plans,lighting and equipment in its buildings, by using motion and light sensors,by encouraging staff and students to save energy by turning off lightsand equipment when not in use, and by enabling energy-saving defaults/sleep modes on computing and other equipment.",The University of Bristol is one of the UK's most energy-efficient universities., 브리스톨 대학교는 영국에서 가장 에너지 효율적인 대학교 중 하나입니다.,13,2
