,제목,내용
10,[포토뉴스] Sejong Smile Street 행사의 생생한 모습을 담다,"배덕효 총장이 환영사를 진행하고 있다 시상식이 끝난 후 단체사진 조현승(경영학부·16)학생이 우수 학생마을 디자이너 활동 결과 발표를 하고 있다 실용무용전공 댄스팀이 행사 장소 이동 퍼포먼스를 하고 있다 행사 1개월 전 미장작업을 하고 있다 행사 2주 전 벽화작업을 하는 모습 행사 당일 완성된 벽화 점등식을 진행하고 있다 실용무용전공 댄스팀이 댄스 퍼포먼스를 하고 있다 실용무용전공 댄스팀이 댄스 퍼포먼스를 하고 있다 행사 참여자들이 모두 모인 단체사진캠퍼스타운은 지난 14일 세종대 가온누리1(다목적실)에서 Sejong Smile Street 행사를 진행했다. 이번 행사는 배덕효 총장, 군자동장, 학생마을디자이너 등 학생마을디자이너 사업 관계자들과 군자동 주민들이 참석해 자리를 빛냈다.행사 마지막에는 지역주민과 세종대의 문화교류를 위한 댄스 퍼포먼스와 전시체험 행사가 진행됐다. 군자동 주민들은 행사에 적극 참여해 호응을 보냈다."
11,[포토뉴스] 코엑스 2023 수시 대학입학정보박람회 현장을 가다,2023 수시 대학입학정보박람회 입구 코엑스 A홀에 세종대 부스가 설치되어 있다 안내를 도와주는 세종대 홍보모델들의 모습 세종대 홍보모델들이 상담번호표 발급을 도와주고 있다 수험생에게 안내를 도와주는 모습 수험생들이 입시상담을 받고 있다 상담을 도와주는 입학과 관계자의 모습 수험생들과 학부모들이 상담을 받기 위해 대기하고 있다 수험생들을 위한 안내 책자가 놓여져 있다 안내 책자를 살펴보는 수험생의 모습세종대는 지난 7월 20일부터 23일까지 삼성동 코엑스 A홀에서 4일간 2023학년도 수시 대학입학정보박람회 행사를 진행했다.이번 박람회에는 세종대를 포함해 총 149개교가 참가했다. 세종대는 입학과 관계자와 온라인 홍보기자가 참여해 수험생들의 입시상담과 안내를 도왔다. 세종대는 부스를 방문한 학부모와 학생의 상담을 적극적으로 도와 많은 호응을 받았다.
12,"세종대 캠퍼스타운, Sejong Smile Street 행사 진행","Sejong Smile Street 행사 참여자 단체사진캠퍼스타운은 지난 14일 세종대 가온누리1(다목적실)에서 Sejong Smile Street 행사를 진행했다. 이번 행사는 캠퍼스타운 학생마을 디자이너와 군자동 지역민과의 소통을 통해 지역 환경 개선을 도모하기 위해 실시되었다.이날 행사에는 배덕효 세종대 총장을 비롯해 군자동장, 캠퍼스타운 단장, 학생마을 디자이너, 군자동 주민대표 등 Sejong Smile Street 행사 관계자들이 대거 참석했다.행사는 Sejong Smile Street 다큐멘터리 상영, 내빈소개, 환영사, 시상식, 우수 학생마을 디자이너 활동 결과 발표, 행사 장소 이동 퍼포먼스, 벽화 점등식 행사, 어라운드세종 댄스 퍼포먼스 순으로 진행됐다.배덕효 총장은 환영사에서 “학생마을 디자이너 사업은 학생들과 지역주민이 협심해 지난 3년간 좋은 성과를 거뒀다는 점에서 의미가 크다. 세종대가 지역주민들이 자부심을 느낄 수 있는 대학이 될 수 있도록 노력하겠다”라고 말했다.우수 학생마을 디자이너 활동결과 발표는 수상자인 조현승(경영학부·16) 학생이 진행했다. 어라운드세종 댄스 퍼포먼스는 총 6명으로 구성된 세종대 실용무용전공 댄스팀이 진행했다.  행사 마지막에는 주민들이 참여하는 포토존 및 전시체험 행사가 진행됐다.캠퍼스타운 김혜영 팀장은 “이번 행사는 지역민과 소통을 통해 지역 환경 개선을 도모했다는 점에서 의미가 크다. 지역주민과 세종대가 함께 할 수 있는 문화 교류를 통해 특화 이미지가 정착될 수 있기를 바란다”라고 말했다."
13,"세종대, 2023학년도 수시 대학입학정보박람회 성공적 마무리",박람회 현장 세종대학교 부스세종대는 지난 7월 20일부터 23일까지 삼성동 코엑스 A홀에서 4일간 진행된 ‘2023학년도 수시 대학입학정보박람회’의 행사를 성공적으로 마무리했다.이번 박람회는 수험생과 학부모에게 종합적이고 실질적인 대학입학 정보를 제공하고자 마련됐다. 박람회에는 세종대를 포함하여 총 149개교가 참가했다. 학부모와 학생을 비롯해 수많은 관람객이 박람회에 방문하여 입시상담을 받았다.세종대는 입학과 관계자와 온라인 홍보기자를 중심으로 입시상담을 진행했다. 세종대 부스는 입시상담 공간과 대기 공간으로 구성됐다. 부스에서는 전형별 모집요강을 배포하기도 했다.세종대는 부스를 방문한 학부모와 학생에게 이전의 입시 결과와 합격 등급 등 구체적인 자료를 제공했다. 또한 홍보기자 학생들이 직접 상담에 참여해 입시 경험에 기반한 정보들을 전달하여 많은 호응을 받았다.행사에 참여한 김현수(신문방송학과·17) 학생은 “이번 박람회에서 수험생들에게 입시와 관련된 실질적인 정보를 줄 수 있어 기뻤다. 박람회에서 진행된 입시상담이 수험생들의 선택에 도움이 되었으면 좋겠다. 이번 박람회를 통해 세종대의 좋은 점들을 알아가는 기회가 되었길 바란다”라고 말했다.
14,"세종대, 정부의 디지털 석박사 고급인재 양성대학 2개 분야 선정","세종대세종대는 과학기술정보통신부가 주관하는 디지털 석박사 고급인재 양성대학 2개 분야에 선정됐다. 과기정통부는 새 정부의 주요 과제인 ‘디지털 경제 패권국가 실현’과 ‘100만 디지털 인재 양성’을 이행하기 위해 총 21개의 고급인재 양성대학을 선정해 발표했다. 이번 사업은 전략기술 분야 고급인재를 양성하는 ‘대학ICT연구센터사업’ 지역 주력산업과 연계해 지역 인재를 양성할 ‘지역지능화혁신인재양성사업’ 산업계 맞춤형 인재를 양성하는 ‘ICT혁신인재4.0사업’ 등으로 구성됐다. 세종대는 ‘대학ICT연구센터사업’과 ‘ICT혁신인재4.0사업’의 2개 분야에 선정됐다. 각 6개, 10개 대학이 선정돼 지원받는다.대학ICT연구센터사업(IRTC)은 대학에 정보통신기술 핵심기술 분야의 첨단 연구 프로젝트를 지원해 기술경쟁력을 높이고 산업 성장을 견인할 연구인재를 양성하는 사업이다. 선정 대학은 최장 8년간(2+4+2년) 연 10억 원 수준을 지원받는다.세종대는 디지털콘텐츠 분야 주관기관으로서 고려대, 경희대, 수원대 등 참여대학 3곳과 함께 초실감 XR 연구센터를 설립해 XR 기술을 연구한다. 이번 사업 선정으로 연 40명의 석박사급 전문인력을 양성한다.ICT혁신인재4.0사업은 기업과 대학이 함께 대학원 연구·교육과정을 설계하고 운영해 산업현장에서 요구하는 문제해결 역량을 갖춘 인재를 양성하기 위한 사업이다. 선정 대학은 최장 5년간(3+2년) 연 5억 원 수준의 지원을 받게 된다. 이 사업에서 세종대는 스마트자동차 분야 주관기관으로 선정됐다. 실무 프로젝트 기반 교육과 연구 수행을 중심으로 연 10명의 실무형 융합인재를 양성한다.세종대 초실감 XR 연구센터장 최수미 교수는 “대학 내 우수 연구진과 함께 창의적이고 혁신적인 산·학·연 연구협력 모델을 구축하고 초실감 XR 인력을 양성하는 데에 중추적 역할을 수행하겠다”고 말했다."
15,"세종대, 자원특화대학사업 선정","출범식에 참여한 정명채 교수 (왼쪽에서 다섯 번째, 사진 = 해외자원개발협회)세종대학교가 미래 핵심원료자원 확보를 위한 자원특화대학사업에 선정됐다.자원특화대학사업은 교육부의 ‘범부처 협업 인재양성 사업’의 일환으로 산업통상자원부가 사업을 관리하고 교육부가 예산을 지원한다. 이번 사업은 원료자원 확보와 자원안보의 중요성이 증대되는 상황에서 자원개발 산업을 선도해나갈 우수 인재를 양성하기 위해 추진됐다. 이번 사업에는 세종대를 포함하여 연세대, 부경대, 한국해양대, 한양대 등 5개 대학이 선정됐다. 사업에 선정된 대학은 2025년까지 2월까지 정부로부터 연간 1억 5,000만 원 ~ 2억 원의 사업비를 지원받는다. 세종대에서는 지구자원시스템공학과가 이번 사업을 주도한다. 이번 사업을 통해 제4차 산업혁명 시대를 선도하는 글로벌 자원개발 전문인력을 양성할 예정이다.세종대가 중점적으로 추진하는 사업 핵심 내용은 핵심광물 탐사 핵심광물 개발과 활용을 위한 교육 지능정보기술을 융합한 자원공학 전문인력 양성 등이다. 특히 자원개발과 IT를 융합한 자원공학 전문인력을 양성하기 위해 현장실무 능력 배양 교육과 스마트다이닝 교육 운영을 적극적으로 지원하며 교육 인프라를 확장할 계획이다.사업의 책임자인 지구자원시스템공학과 정명채 교수는 “반도체와 배터리 분야에 필요한 핵심원료광물 확보가 매우 중요해진 시점이다. 우리 대학이 핵심광물의 안정적 확보를 담당할 인재양성사업에 선정되어 영광이다. 특히 사업을 통해 학생들에게 더 많은 지원을 할 수 있게 되어 기쁘다. 이 사업이 성공적으로 추진될 수 있도록 학과의 교수님들과 함께 최선을 다하겠다”라고 소감을 밝혔다."
16,"세종대 경영대학, AACSB 4회 연속 인증 획득","세종대학교 전경세종대 경영대학이 지난 6월 28일 AACSB 재인증을 취득했다.세종대는 KAIST와 고려대에 이어 국내에서 세 번째로 4회 연속 인증을 획득했다. 2007년에 국내에서 네 번째로 첫 AACSB 인증을 받은 후 2012년, 2017년, 그리고 2022년에 재인증을 획득함에 따라 2027년까지 AACSB 인증을 연장 보유하게 됐다. AACSB(Association to Advance Collegiate Schools of Business, 세계경영대학발전협의회)는 1916년 설립된 경영학 교육의 품질보증 및 향상을 위한 세계 최대 경영교육 네트워크다. 경영대학이 갖추어야 할 글로벌 교육기준을 바탕으로 평가, 심사하여 인증하고 있다. 현재 전 세계 경영대학의 5% 미만인 59개국 950여 개의 경영대학만이 인증을 받은 상황이다.세종대는 지난 4월 11일부터 13일까지 AACSB 심사를 받았다. AACSB 재인증 실사팀은 전략경영과 혁신 경영대학 참여자(교수, 학생, 직원)의 역량 교육의 질 교수·학생의 학술적 참여 활동 교수·학생의 실무적 참여 활동 등의 항목들을 종합적으로 평가하여 지난 5년 동안의 세종대 경영교육을 확인했다.세종대는 경영대학 내부에 AASCB 인증위원회를 구성해 실사팀의 평가를 기반으로 취약 분야를 개선하는 등 재인증을 위한 전략 계획을 꾸준하게 수립하고 실행해왔다. 2022년에 4회 연속 재인증을 획득하면서 세종대는 국제적으로 수준 높은 교육환경을 유지하고 발전시켜왔음을 인정받았다.이규석 경영대학 교수는 “세 차례의 성공 경험을 토대로 철저하게 다음 인증을 준비한 것이 좋은 결과로 이어진 것 같다. 경영대학의 모든 교수와 대학의 아낌없는 지원 덕분에 재인증을 획득할 수 있었다. 학생들이 수준 높은 교육환경에서 공부할 수 있도록 우리 대학은 끊임없이 발전해나가도록 노력하겠다”라고 말했다."
17,"세종대 음악과, 밀알복지재단과 제19회 밀알콘서트 성공적 개최","밀알콘서트 공연 모습세종대학교 음악과 교수와 학생들은 지난 6월 16일 세라믹팔레스홀에서 밀알복지재단과 함께 제19회 밀알콘서트를 성공적으로 마무리했다. 이번 공연은 ‘우리, 함께’라는 주제로 진행된 기금 마련 음악회였다. 우크라이나의 평화를 염원하고 우크라이나 국민에게 희망을 전달하기 위해 기획됐다. 우크라이나의 평화를 바라는 사람 모두가 함께할 수 있도록 지난 7월 7일에 유튜브를 통해 공연 영상을 게시하기도 했다. 공연의 수익금은 전쟁으로 고통받고 있는 우크라이나 난민들과 아이들을 위해 사용된다.이번 공연은 세종대 음악과 교수들과 학생들이 참여했다. 윤경희 교수가 공연의 총연출과 기획을 담당했고 박인욱 교수와 오은경 교수가 각각 지휘와 소프라노를 맡았다. 음악과 성악 전공 재학생 12명으로 구성된 아인클랑 앙상블도 함께 공연했다.우크라이나 트럼펫 연주자가 직접 등장해 공연을 선보이기도 했다. 공연 마지막에는 모든 출연자가 우크라이나의 평화를 염원하는 마음을 담아 우크라이나어로 ‘우크라이나를 위한 기도(Prayer for Ukraine)’를 노래했다.총연출과 기획을 맡은 윤경희 교수는 “공연이 성공적으로 끝날 수 있도록 함께 힘써 준 사람들에게 감사하다. 이번 공연을 통해 사람들이 고통을 겪고 있는 우크라이나의 상황에 더 많은 관심을 가지게 됐으면 좋겠다. 우크라이나에 희망을 조금이라도 전달할 수 있는 공연이 되었길 바란다”라고 소감을 밝혔다."
18,"세종대, 제10회 국토대장정 성황리에 마무리","제10회 국토대장정 단체사진세종대학교는 지난 7월 4일부터 15일까지 실시한 2022학년도 제10회 국토대장정 행사를 성황리에 마무리했다.국토대장정 행사는 재학생들을 대상으로 우리 국토에 대한 자긍심을 높이고 ‘세종인’이라는 단결된 마음을 함양하기 위해 기획됐다. 특히 이번 행사는 코로나바이러스로 인해 잠정 중단된 이후 3년 만에 다시 실시됐다는 점에서 의미가 있다. 행사는 세종대 학생지원처가 주관했으며 총 60명의 재학생이 참가했다. 행사는 ‘4차 산업혁명을 선도하는 세종대학교’를 주제로 제주특별자치도에서 국토 순례와 학교 홍보를 진행했다. 학생들은 11박 12일 동안 한림에서 시작해 대정, 안덕, 보목, 표선, 성산, 구좌, 조천, 애월, 한림까지 도보로 약 250km를 일주했다. 행사에 참여한 이재건(나노신소재공학과·21) 학생은 “긴 거리를 걸으며 힘들 때도 있었지만 함께한 대원들의 격려와 응원으로 완주할 수 있었다. 이번 국토대장정으로 연대의 중요성과 필요성을 크게 느꼈다”라고 말했다."
19,"세종대 미래교육원 패션디자인학전공, 2022 온라인 패션쇼 개최","온라인 패션쇼 사진세종대 미래교육원은 지난 4일 유튜브와 네이버TV를 통해 패션디자인학전공의 온라인 패션쇼를 공개했다.이번 패션쇼는 2022년 1학기 미래교육원의 패션컬렉션 수업을 맡은 최경호 디자이너와 멀티미디어학전공 심재승 교수, 패션디자인학전공 조정윤 교수의 총괄 기획으로 진행됐다.패션쇼는 세종대 캠퍼스의 박물관과 대양AI센터에 설치된 플로어 런웨이에서 진행됐으며, 패션컬렉션 수업을 수강한 11명의 예비디자이너 학생들이 참여했다.예비디자이너 학생들은 수업을 통해 패션쇼의 시작부터 편집까지 배우고 개성 중심의 콘셉트를 잡아 컬렉션을 구성했다.온라인 패션쇼 영상은 세종대학교 미래교육원 유튜브 채널(https://youtu.be/nsTrbm1s73g) 을 통해 확인할 수 있다.총괄 디렉터로 참여한 패션디자인학전공 조정윤 교수는 “독창적인 자신을 확립하는 세종인의 모습을 표현하고자 캠퍼스 내 전통과 현대가 공존하는 공간을 배경으로 선정했다. 패션디자인학전공 학생들이 패션쇼에 참여해 성장하는 모습을 볼 수 있어 기쁘다”라고 말했다."
