,제목,내용
10,"제주녹색환경센터, `가축분뇨처리시설 운영·관리 온라인 교육(2차)` 실시","제주녹색환경지원센터(센터장 김진근 제주대 환경공학과 교수)는 제주특별자치도(생활환경과)와 공동으로 가축분뇨의 적정관리를 통해 환경오염(사고)를 사전에 예방하기 위해 이달 1일부터 31일까지 `가축분뇨처리시설 운영·관리 교육` 2차 과정을 온라인으로 진행하고 있다고 3일 밝혔다. 앞서 센터는 지난 6월 한달간 교육생 29명을 대상을 1차 교육을 실시한 바 있다.     교육은 가축분뇨처리 관계자(시공업자, 관리인 등)를 대상으로 무상지원하며, 교육생은 센터 온라인 강의 플랫폼 (www.jgec.or.kr)을 통해 교육기간내 수시로 모집한다 교육 프로그램은 `축산폐수시설 운영·관리 및 법령·제도의 이해`, `축산폐수시설에서 발생한 악취의 제어 및 관리`에 관한 내용 등 2개 강좌(총 3시간)로 구성됐다. `축산폐수시설 운영·관리 및 법령·제도의 이해`(강사 김충곤 ㈜건화 이사) 교육내용은 △가축분뇨 발생 및 처리 특성 △통합처리기술 소개 △에너지 자원화 기술 및 적용사례 등이다.     `축산폐수시설에서 발생한 악취의 제어 및 관리`(강사 이경호 ㈜도화 상무)는 △악취방지법의 이해 및 축산시설 악취발생원과 발생기작 △악취 방지기술 동향 등이다.  김진근 제주녹색환경지원센터장은 “이번 교육을 통해 제주도의 최대 환경현안인 가축분뇨의  적정관리를 유도해 환경오염(사고) 사전 예방과 제주지역 어메니티 제고를 위해 노력하겠다”고 밝혔다 3차 교육은 10월 1일부터 31일 까지 진행될 예정이다."
11,"기계공학과 석사졸업생 김우영 씨, 한국폴리텍대학 교수 임용",제주대학교 기계공학과 대학원에서 석사학위를 받은 김우영 씨(지도교수 김남진)가 오는 2023년 3월 신설되는 한국폴리텍대학 전북캠퍼스 스마트전기자동차과 교수로 임용됐다. 김우영 씨는 제주특별자치도의 전기자동차 보급계획의 일환으로 진행된 전기자동차 정비인력양성사업의 강의를 진행해 왔다. 임용심사시 석사학위 졸업논문으로 제출된 '전기자동차용 원통형 리튬이온배터리의 열폭주에 대한 수치해석적 연구'는 심사위원들로부터 좋은 점수를 받아 제주도가 전기자동차 보급 및 교육의 중심 지역임을 전국적으로 인정받게 했다.
12,"SW파이오니아, 3개국서 인공지능 등 전수한다", 제주대학교 소프트웨어융합교육원(원장 송왕철 컴퓨터공학전공 교수)은 8월 1일부터 28일까지 4주간 볼리비아ㆍ몽골ㆍ인도네시아 등 3개 국가에서 국제공동프로젝트 및 IT봉사활동을 벌인다고 2일 밝혔다. 이번 소프트웨융합교육원의 SW파이오니아 국제공동프로젝트는 한국지능정보사회진흥원(NIA)의 World Friends Korea(WFK) 사업의 일환으로 제주대 SW융합교육원과 공동으로 추진해 현지 3개국 학생들과 함께 딥러닝 기반의 인공지능 자율주행 교육 프로그램 운영 외에도 그래픽 등의 IT교육과 함께 한류 문화 전파 등을 수행할 예정이다. 올해 국제공동프로젝트에는 인솔자 8명과 37명의 SW중심대학사업 참여 학생이 참여하고 있다. 송왕철 원장은 “이번 국제공동프로젝트(NIA-WFK 프로그램)를 통해 대한민국의 최신 인공지능 및 IT 술을 개발도상국 학생들에게도 전파하겠다“고 밝히면서 SW파이오니아 학생들의 글로벌 SW역량이 향상되고 큰 보람도 느끼는 계기가 되기를 바란다”고 말했다.
13,"제주대병원, 국내 3번째 중입자선 암치료 설비 도입 추진"," 제주대학교병원(병원장 송병철)은 지난 7월 29일 일본 도시바 에너지시스템즈&솔루션즈(이하 '도시바')와 중입자선 가속기 설비 도입을 위한 양해각서를 체결했다고 밝혔다. 38만평 부지에 들어서는 중입자 치료센터는 총 5000억 원이 투입되는 사업으로 2026년 치료를 목표로 하고 있다. 이번 협약식은 한국과 일본에서 이원 화상회의 방식으로 진행됐다. 한국에선 김일환 제주대 총장, 송병철 제주대병원장, 강태현 중입자치료지원센터코리아 대표이사, 이기운 CGS-CIMB그룹 CCGI 아시아 대표 등 6명이, 일본에선 무라타 다이스케 도시바 사업부 총괄대표, 츠지이 히로히코 前 QST 병원장 등 5명, 한일 관계자 총 11명이 참석했다. 이번 양해각서는 제주도에 중입자 가속기 설비 도입을 위한 투자사, 운용사 및 병원 등 모든 기관이 참여해 병원 설립과 운영을 위해 각자의 역할을 규정한 것으로 제주대병원은 도시바와 상호교류를 바탕으로 중입자가속기를 활용한 진료 및 연구를 진행 할 예정이다. 중입자치료는 탄소이온을 중입자가속기로 빛의 70% 속도까지 가속해 환자에게 직접 쏘아 암을 파괴하는 치료법이다. 가속된 탄소이온 입자가 암세포와 만나면 폭발을 일으켜 암세포 DNA와 암 조직을 사멸시킨다. 정상세포를 최대한 보호하고 암세포를 집중 조사(照射)하기 때문에 치료 효과가 높고 부작용이 적어 ‘꿈의 암치료 기술’로 불린다. 국내에는 연세의료원과 서울대병원이 중입자가속기 도입 계약을 맺었고 내년부터 연세의료원이 치료에 들어갈 계획이며, 국내 세 번째 중입자치료센터가 제주도에 들어서게 된다."
14,"LINC3.0사업단, ‘NPS 취업아카데미’ 1기 수료식 개최", 제주대학교 LINC3.0사업단(단장 강태영)은 지난 7월 29일 대학 인문대 1호관에서 ‘NPS(국민연금공단) 취업아카데미’ 1기 수료식을 가졌다. 이번 NPS 취업아카데미 1기 수료생은 중어중문학과 3학년 윤현기 씨 등 12명이다. NPS 취업아카데미 1기는 제주지역 공공분야를 선도할 미래창의융합형 인재양성을 위해 제주대 LINC3.0사업단과 국민연금공단 광주지역본부(본부장 이종회)가 공동으로 기획해 지난 5월 20일부터 7월 29일까지 총 14회에 걸쳐서 진행됐다. 수료자에겐 제주대 총장 명의의 수료증과 국민연금공단 광주지역본부장 명의의 수료증이 주어졌다. 국민연금공단은 광주지역본부는 특히 ‘ESG 경영에 대한 아이디어 제안’ 발표를 통해 평가 우수교육생에게 장학금을 전달했다. 대상은 ‘출산율 상승 방안’을 주제로 발표한 전산통계학과 3학년 배현진 씨가 받았다. 강태영 제주대 LINC3.0사업단장은 “이번 과정은 지역을 선도할 공공분야 미래창의융합형 인재를 양성을 위해 빅데이터 등 디지털트랜스포메이션 교육도 마련해 트렌드에 맞춘 실질적인 현장중심형 인재양성 과정으로 진행했다”며 “취업아카데미는 지역우수인재 양성을 위한 대표 프로그램으로서 학생들의 취업역량 강화 뿐 아니라 취업미스매칭 해소를 위해 많은 기여를 하고 있다”고 말했다.
15,"국제개발협력센터, ‘제로웨이스트 제주여행’ 홍보 캠페인","  제주대학교 국제개발협력센터(센터장 신의철)는 지난 7월 29일 함덕서우봉해변 일대에서 서포터즈 오디세이 7기 활동의 일환으로 도내 지속가능발전목표(SDGs) 실천을 위한 ‘제로웨이스트 제주여행’ 캠페인을 실시했다. 센터는 SDGs 11번 ‘지속가능한 도시와 주거지 조성’, 12번 ‘지속가능한 생산과 소비’ 주제를 실천할 수 있는 방법으로 여름휴가철 쓰레기 없는 제주도 여행을 할 것을 도민 및 관광객들에게 홍보했다. 국제개발협력센터 서포터즈 오디세이 7기는 도민 및 일반 관광객들과 함께 사진을 찍고 SNS에 업로드해 캠페인에 동참할 수 있도록 안내했다. 캠페인 참여자들에겐 대나무칫솔, 세안비누, 고체치약 등 여행에 필요한 친환경 물품이 제공됐다. 홍보 활동 후에는 제주특별자치도 지속가능환경교육센터도 방문해 제주도 내 쓰레기 처리 현황을 학습하고, 지속가능한 자원 사용 방법에 대해 토론하는 시간을 가졌다. 제주국제개발협력센터는 제주특별자치도-한국국제협력단(코이카)-제주대 3자간 MOU체결을 통해 제주지역 공적개발원조(ODA)의 핵심거점으로 지역 ODA사업 활성화와 지역의 국제화를 위해 제주대에 설립된 기관이다. "
16,호남제주R-WeSET사업단 ‘2022 여고생 공학탐구경진대회’," 호남제주권역 R-WeSET사업단(사업단장 이은주 제주대 교수)은 지난 27~29일 제주대에서 (사)제주과학문화협회(이사장 고영림)과 함께 ‘2022 Girls’ Engineering Week-여고생 공학탐구 경진대회‘를 개최했다고 밝혔다고 30일 밝혔다. 제주특별자치도교육청의 후원으로 진행된 이번 행사 주제는 ‘지속가능한 발전을 위한 메이커 프로젝트’. 행사에는 여고생 30명(11개 팀)이 참여해 지속가능한 발전을 위한 산출물을 제작하고 메타버스 플랫폼을 활용해 발표대회를 가졌다. 교육 참여 만족도는 5점 만점에 4.8점으로 높게 나타났다. 참가학생들은 “평소 희망 진로가 공학 쪽이었는데 이번 프로젝트를 통해 더 많은 관심을 갖게 됐다. 공학으로 진로를 결정하게 됐다”고 소감을 밝혀 프로그램 참여가 공학 분야 진학 의지를 높여준 것으로 분석됐다. 참가자들이 팀을 이뤄 공학탐구 주제를 직접 설계해 제작해보는 이 프로그램은 자기주도적인 융합 탐구활동의 즐거움을 통해 창의적 문제 해결능력을 키워주기 위해 지난 2013년부터 매년 개최되고 있다. 호남제주권역 R-WeSET사업단에서 운영하는 ‘지역 이공계 여성인재 양성 사업(R-WeSET 2.0)’은 제주특별자치도교육청, 제주특별자치도 여성가족청소년과의 후원과, 한국여성과학기술인육성재단의 지원(복권기금)으로 운영되고 있다."
17,"기초과학연구소 스타브릿지센터, ‘지역밀착형 과학교육 프로그램’ 운영","제주대학교 기초과학연구소(소장 김명숙)는 지난 6월 한국과학창의재단에서 공모한 스타브릿지센터 사업에 선정돼 교사-학계-연구기관을 연계하는 스타브릿지센터(이하 ‘센터’)를 운영하고 있다고 29일 밝혔다.센터는 이번 사업으로 △교사참여 연구수행 △과학교육 프로그램 개발 및 교사연수를 통한 현장 확산 △지역사회 기여 프로그램(지역밀착형 과학교육 프로그램, 사이언스 진로탐험대, 사이언스 브릿지데이) 등을 진행하고 있다.센터는 지난 27일 서귀포시 보성초등학교 5~6학년을 대상으로 과학연구 실험장비 견학과 기초과학 체험활동 기회를 제공해 지역 과학교육 허브역할을 극대화하기 위한 지역밀착형 과학교육 프로그램을 개최했다.이날 프로그램에 참여한 학생들은 △과학연구 관련 장비를 견학하기 위하여 두 곳의 전공실험실(식품영양학과 강인혜 교수, 동물생명공학전공 손영옥 교수)을 탐방했으며, 기초과학 체험활동으로 △해조류 다양성(해조류 관찰 및 드로잉북 체험) △미생물 다양성(형태 관찰 및 박테리오 파지 만들기) 실험을 진행했다.스타브릿지센터는 제주지역에 특화된 과학교육 프로그램을 개발해 과학활동에 대한 관심을 유도하고 창의성과 융합적 사고력을 갖춘 미래인재를 양성하는데 기여하게 된다. "
18,‘학생 주도형 학과 별 진로·취업 모듈 구축’ 추진,"제주대학교 대학일자리플러스센터(센터장 여인규)는 모집을 통해 선정 된 경영학과ㆍ관광경영학과ㆍ무역학과ㆍ경영정보학과ㆍ사회학과 등 5개 학과와 오는 8월부터 학생 주도형 학과별 진로·취업 모듈 구축을 실시한다고 28일 밝혔다. ‘학생 주도형 학과별 진로·취업 모듈 구축’이란 학과 별 특성에 맞춘 취업준비 방법과 기업 실무에 필요한 직무역량 개발과 관련된 가이드 맵을 제시하고자 하는 목적을 가지고 있다. 코디네이터 1명(외부 전문가)과 교수 1명, 재학생 1~3명, 취업컨설턴트 1명이 팀을 이뤄 진행하게 되며 참여 학생에게 별도의 장학금이 지급이 될 예정이다. 또한 가이드 북 제작 시 참여한 학생들의 성명이 기재돼 향후 대내활동에 대한 증빙자료로 활용할 수 있도록 할 예정이다. 대학일자리플러스센터는 “이번 ‘학생 주도형 학과별 진로·취업 모듈 구축’ 운영을 통해 학생들의 취업준비 및 직무역량개발에 실질적인 도움이 되길 바란다‘고 밝혔다."
19,"호남제주 R-WeSET사업단, 여중고생 공학 진로탐색 메타버스 특강"," 호남제주권역 R-WeSET사업단(단장 이은주 제주대 교수)은 지난 26일 메타버스 플랫폼(ZEP)을 활용한 ‘공학 진로 특강 랜선+커리어트래블’을 개최했다고 28일 밝혔다. 이 프로그램은 호남제주권역 R-WeSET사업단에서 새롭게 시작한 것으로 전남지역 R-WeSET사업단, 전북지역 R-WeSET사업단과 공동으로 주관했다. 프로그램에는 제주, 전남, 전북지역 여중·고 학생 80여명이 참여했다. 프로그램은 한국자동차연구원 강소특구캠퍼스장인 오미혜 박사의 여성공학자 특강, 전자공학 진로특강(제주대 전자공학전공 김우영 교수), 컴퓨터공학 진로특강(제주대 컴퓨터공학전공 김도현 교수), 전기공학 진로특강(제주대 전기공학전공 진영규 교수) 등으로 진행됐다. 참가학생들은 메타버스를 체험하고 공학 분야를 간접적으로 경험해보는 시간을 가졌다. 프로그램 참여 만족도는 5점 만점에 4.6점으로 매우 높았다. 참가자들은 “메타버스로 하는 건 새로워서 재미있게 참여할 수 있었고 교수님들께서 특강도 잘해주셔서 흥미롭게 들을 수 있었다”고 소감을 남겨 프로그램 참여가 여고생들의 이공계학과 진학 의지를 높여준 것으로 분석됐다. 호남제주권역 R-WeSET사업단에서 운영하는 ‘지역 이공계 여성인재 양성 사업(R-WeSET 2.0)’은 제주특별자치도교육청, 제주특별자치도 여성가족청소년과의 후원과, 한국여성과학기술인육성재단의 지원(복권기금)으로 운영되고 있다. 이은주 단장은 “도내 우수 여중·고 학생들을 지역 핵심 산업 및 신기술 분야로 유입하고, 이공계 핵심 인재로 성장할 수 있도록 힘쓸 계획”이라고 밝혔다."
20,"아라국외봉사단, 몽골서 동물진료 봉사활동"," 제주대학교(총장 김일환) 수의과대학 아라국외봉사단은 지난 12일부터 19일까지 7박 8일일정으로 몽골에서 동물진료 봉사활동을 진행했다고 27일 밝혔다. 아라국외봉사단은 교수 6명, 학생 23명, 수의사 및 직원 8명 등 총 37명으로 짜여졌다. 봉사단은 13~15일에는 울란바토르 지역 내 유기동물보호소에서 개(41마리)와 고양이(27마리) 광견병 및 DHPPL(종합백신) 예방접종, 내·외부 기생충 구제, 중성화 수술(개 암컷 11마리, 수컷 10마리, 고양이 암컷 12마리, 수컷 6마리) 및 기본 진료를 실시했다. 16일과 17일에는 사설목장 및 학교 부설 목장에서 200여두의 가축을 대상으로 사양 및 목장관리, 기본 구충 및 진료를 수행했다. 또 몽골 수의과대학(Mongolian University of Life Science, School of Veterinary Medicine, Gombozav 학장)과 업무협약식을 체결하고 향후 학생과 학술 교류 및 국제 연구를 진행할 수 있는 바탕을 마련했다. 이영재 제주대 수의과대학장은 ""이번 봉사활동을 통해 학생들에게 현장실무 경험을 제공하고 국제적이고 미래지향적인 사고를 함양하는 계기가 됐다. 대학 차원에서는 상호 학술교류 및 연구협력의 장을 마련하고 대학 위상 및 국제교류 활성화에 기여한 것으로 평가하고 있다“ 고 밝혔다.  "
