,국가,대학교명,번역,분류,번역_전처리,5분류,요약
120,한국,Kyungpook,"경북대학교는 캠퍼스 내 체험캠프를 이틀간 개최하여 전국 고등학생들이 대학생활의 한 장면을 직접 체험할 수 있도록 했습니다. 캠프는 학생들에게 체험 활동을 통해 경북대학교의 우수한 교육 환경과 특화 커리큘럼을 소개했습니다. 경북대학교 도서관과 국내 유일의 미술도서관인 미술도서관의 협약으로 '도서관도서' 전시를 개최했습니다. 미술도서관에서 편찬한 책들로 피에트 몬드리안, 레오나르도 다빈치, 안토니 가우디, 프랭크 게리 등 유명 예술가와 건축가의 40여 권의 책과 제목의 작품을 소장하고 있다. 경북대학교 도서관은 지역사회의 교육과 문화 발전을 주도하는 복합문화공간입니다. 이는 지식기반사회에서 교육 및 문화시설로서의 역할을 다하고자 하는 경북대학교 도서관의 의지를 반영한 ​​것입니다.",11,"경북대학교는 캠퍼스 내 체험캠프를 이틀간 개최하여 전국 고등학생들이 대학생활의 한 장면을 직접 체험할 수 있도록 했습니다. 캠프는 학생들에게 체험활동을 통해 경북대학교의 우수한 교육환경과 특화 커리큘럼을 소개했습니다. 경북대학교 도서관과 국내 유일의 미술도서관인 미술도서관의 협약으로 도서관도서 전시를 개최했습니다. 미술도서관에서 편찬한 책들로 피에트몬드리안, 레오나르도 다빈치, 안토니가 우디, 프랭크게리 등 유명 예술가와 건축가의 40여권 의책과 제목의 작품을 소장하고 있다. 경북대학교 도서관은 지역사회의 교육과 문화발전을 주도하는 복합문화공간입니다.이는 지식기반 사회에서 교육 및 문화시설로서의 역할을 다하고자 하는 경북대학교 도서관의 의지를 반영한 것입니다.",3, 지식기반 사회에서 교육 및 문화시설로서의 역할을 다하고자 하는 경북대학교 도서관의 의지를 반영한 것입니다.
39,한국,Kangwon,미래에너지 기술 포럼 개최. 다양한 친환경 미래에너지 기술 소개,7,미래 에너지기술포럼 개최. 다양한 친환경 미래 에너지 기술 소개,3,미래 에너지기술포럼 개최. 다양한 친환경 미래 에너지 기술 소개
65,한국,Kangwon,항암면역세포 치료제 개발 기술 관련 연구 사업화 추진,9,항암면역세포치료제 개발 기술 관련 연구사업화 추진,3,항암면역세포치료제 개발 기술 관련 연구사업화 추진
45,한국,Kangwon,신규 건축물 대상 인증을 부여받아 에너지 효율 준수,7,신규 건축물 대상 인증을 부여받아 에너지 효율 준수,3,신규 건축물 대상 인증을 부여받아 에너지 효율 준수
119,한국,Kyungpook,"지역민을 위한 미술치료 체험 프로그램인 미술치료 아틀리에를 진행합니다. 이 프로그램은 대유행으로 지친 시민들과 학생들의 스트레스를 해소하고 건강한 일상으로 돌아갈 수 있도록 돕기 위해 마련되었습니다. 경북대학교미술관은 코로나19 확산 방지를 위해 소수의 엘리트 프로그램으로 프로그램을 운영하며, 코로나19 예방수칙을 철저히 준수하겠습니다.",11,"지역민을 위한 미술치료 체험 프로그램인 미술치료 아틀리에를 진행합니다.이 프로그램은 대유행으로 지친 시민들과 학생들의 스트레스를 해소하고 건강한 일상으로 돌아갈 수 있도록 돕기 위해 마련되었습니다. 경북대학교 미술관은 코로나 19 확산 방지를 위해 소수의 엘리트 프로그램으로 프로그램을 운영하며, 코로나 19 예방수칙을 철저히 준수하겠습니다.",3," 프로그램은 대유행으로 지친 시민들과 학생들의 스트레스를 해소하고 건강한 일상으로 돌아갈 수 있도록 돕기 위해 마련되었습니다. 경북대학교 미술관은 코로나 19 확산 방지를 위해 소수의 엘리트 프로그램으로 프로그램을 운영하며, 코로나 19 예방수칙을 철저히 준수하겠습니다."
137,한국,Kyungpook,"지역민을 위한 미술치료 체험 프로그램인 미술치료 아틀리에를 진행합니다. 이 프로그램은 대유행으로 지친 시민들과 학생들의 스트레스를 해소하고 건강한 일상으로 돌아갈 수 있도록 돕기 위해 마련되었습니다. 경북대학교미술관은 코로나19 확산 방지를 위해 소수의 엘리트 프로그램으로 프로그램을 운영하며, 코로나19 예방수칙을 철저히 준수하겠습니다.",11,"지역민을 위한 미술치료 체험 프로그램인 미술치료 아틀리에를 진행합니다.이 프로그램은 대유행으로 지친 시민들과 학생들의 스트레스를 해소하고 건강한 일상으로 돌아갈 수 있도록 돕기 위해 마련되었습니다. 경북대학교 미술관은 코로나 19 확산 방지를 위해 소수의 엘리트 프로그램으로 프로그램을 운영하며, 코로나 19 예방수칙을 철저히 준수하겠습니다.",3," 프로그램은 대유행으로 지친 시민들과 학생들의 스트레스를 해소하고 건강한 일상으로 돌아갈 수 있도록 돕기 위해 마련되었습니다. 경북대학교 미술관은 코로나 19 확산 방지를 위해 소수의 엘리트 프로그램으로 프로그램을 운영하며, 코로나 19 예방수칙을 철저히 준수하겠습니다."
61,한국,Kangwon,"신약후보물질 관련 기술 이전, 학술교류 및 연구개발 진행",9,"신약 후보물질 관련 기술이전, 학술교류 및 연구개발 진행",3,"신약 후보물질 관련 기술이전, 학술교류 및 연구개발 진행"
58,한국,Kangwon,직원의 권익 보호를 위한 협의회 운영,8,직원의 권익보호를 위한 협의회 운영,3,직원의 권익보호를 위한 협의회 운영
52,한국,Kangwon,전국대학노동조합 가입. 대학 구성원들의 노동권 보장,8,전국대학노동조합 가입. 대학 구성원들의 노동권 보장,3,전국대학노동조합 가입. 대학 구성원들의 노동권 보장
123,한국,Kyungpook,전자공학과 교수가 유기반도체의 우수한 광흡수 특성을 활용해 실내조명과 같은 약한 빛에서도 전기를 발생시키는 기술을 개발했다. 배 교수가 개발한 기술은 약한 전력으로도 태양전지에서 전기를 생산할 수 있고 24시간 영구적인 전원으로 사용할 수 있다.,7,전자공학과 교수가 유기반도체의 우수한 광흡수 특성을 활용해 실내 조명과 같은 약한 빛에서도 전기를 발생시키는 기술을 개발했다. 배 교수가 개발한 기술은 약한 전력으로 도 태양전지에서 전기를 생산할 수 있고 24시간 영구적인 전원으로 사용할 수 있다.,3,전자공학과 교수가 유기반도체의 우수한 광흡수 특성을 활용해 실내 조명과 같은 약한 빛에서도 전기를 발생시키는 기술을 개발했다. 배 교수가 개발한 기술은 약한 전력으로 도 태양전지에서 전기를 생산할 수 있고 24시간 영구적인 전원으로 사용할 수 있다.
105,한국,Kyungpook,전자공학과 교수가 유기반도체의 우수한 광흡수 특성을 활용해 실내조명과 같은 약한 빛에서도 전기를 발생시키는 기술을 개발했다. 배 교수가 개발한 기술은 약한 전력으로도 태양전지에서 전기를 생산할 수 있고 24시간 영구적인 전원으로 사용할 수 있다.,7,전자공학과 교수가 유기반도체의 우수한 광흡수 특성을 활용해 실내 조명과 같은 약한 빛에서도 전기를 발생시키는 기술을 개발했다. 배 교수가 개발한 기술은 약한 전력으로 도 태양전지에서 전기를 생산할 수 있고 24시간 영구적인 전원으로 사용할 수 있다.,3,전자공학과 교수가 유기반도체의 우수한 광흡수 특성을 활용해 실내 조명과 같은 약한 빛에서도 전기를 발생시키는 기술을 개발했다. 배 교수가 개발한 기술은 약한 전력으로 도 태양전지에서 전기를 생산할 수 있고 24시간 영구적인 전원으로 사용할 수 있다.
86,한국,Kangwon,"외국인 학생들의 학교생활 적응 지원. 외국인 학생 대상 튜터링, 버디프로그램 운영",10,"외국인 학생들의 학교생활 적응 지원.외국인 학생 대상 튜터링, 버디 프로그램 운영",3," 학생 대상 튜터링, 버디 프로그램 운영"
28,한국,Ajou,"아주대에는 장애 여부에 상관없이 누구나 평등하게 공부하고, 생활할 수 있도록 도움을 주는 곳이 있다. 장애 학생의 편리한 학교생활을 도모하기 위해 다양한 서비스를 제공하는 장애학생지원실이 바로 그곳이다. 장애학생지원실은 지난 2009년 10월 출범해 현재는 총장 직속 기구인 인권센터 산하 기구로 운영되고 있다. 장애 학생이 입학한 순간부터 졸업 후 사회에 진출하기까지, 장애학생지원실의 업무는 다채롭게 이어 진다. 장애 학생들의 요구와 특성에 맞는 학습 및 생활 지원을 통해 교육권을 보장하고 장애를 이유로 차별 받지 않도록 장애인식개선 교육도 실시한다. 아주대 장애학생지원실은 크게 세 가지 측면에서 학생들을 서포트한다. ▲학습 지원 ▲이동·편의시설 지원 ▲대학생활 지원이다. 학생들이 학업에 몰두할 수 있도록 과목별 지원 인력 연계를 통해 강의 내용 대필, 수화통역, 속기, 점역 등을 지원하고 담당 교수에게 장애 학생에 대한 특성을 미리 안내해 맞춤형 수업이 제공될 수 있도록 한다. 수업 및 학습에 필요한 학습보조기기 및 시각장애 학생을 위한 도서 점역비도 지원한다. 생활 도우미를 연계해 강의실 이동 및 생활편의를 지원하고, 몸이 불편한 장애 학생들을 배려해 생활관 및 사물함 우선 배정도 돕는다. 또 학생들의 원활한 대학 적응을 위해 매 학기 간담회를 개최하고, 심리 프로그램도 지원한다. 새내기 오리엔테이션부터 멘토링 프로그램, 진로 및 취업 상담을 하는 것 또한 장애학생지원실의 중요한 역할이다. 장애인식개선 교육은 대학 구성원 전체를 대상으로 한 법정의무교육으로, 장애학생지원실은 더 많은 구성원이 교육에 참여할 수 있도록 여러 형태의 강의를 마련하고 참여를 독려하고 있다.",10,"아주대에는 장애 여부에 상관없이 누구나 평등하게 공부하고, 생활할 수 있도록 도움을 주는 곳이 있다. 장애학생의 편리한 학교생활을 도모하기 위해 다양한 서비스를 제공하는 장애학생 지원실이 바로 그곳이다. 장애 학생 지원실은 지난 2009년 10월 출범해 현재는 총장 직속 기구인 인권센터 산하기구로 운영되고 있다. 장애학생이 입학한 순간부터 졸업 후 사회에 진출하기까지, 장애학생 지원실의 업무는 다채롭게 이어진다. 장애 학생들의 요구와 특성에 맞는 학습 및 생 활지원을 통해 교육권을 보장하고 장애를 이유로 차별받지 않도록 장애인식 개선 교육도 실시한다.아주대 장애학생 지원실은 크게 세 가지 측면에서 학생들을 서포트한다. 학습지원이 동 편의시설 지원대학 생활지원이다. 학생들이 학업에 몰두할 수 있도록 과목별 지원인력 연계를 통해 강의 내용대필, 수화통역, 속기, 점역 등을 지원하고 담당 교수에게 장애학생에 대한 특성을 미리 안내해 맞춤형 수업이 제공될 수 있도록 한다. 수업 및 학습에 필요한 학습보조기기 및 시각장애 학생을 위한 도서점역비도 지원한다. 생활도우미를 연계해 강의실이동 및 생활편의를 지원하고, 몸이 불편한 장애학생들을 배려해 생활관 및 사물함 우선 배 정도 돕는다.또 학생들의 원활한 대학적응을 위해 매 학기 간담회를 개최하고, 심리 프로그램도 지원한다. 새내기 오리엔테이션부터 멘토링 프로그램, 진로 및 취업상담을 하는 것 또한 장애학생 지원실의 중요한 역할이다. 장애인식 개선 교육은 대학 구성원 전체를 대상으로 한 법정의무교육으로, 장애학생 지원실은 더 많은 구성원이 교육에 참여할 수 있도록 여러 형태의 강의를 마련하고 참여를 독려하고 있다.",3," 학생들의 원활한 대학적응을 위해 매 학기 간담회를 개최하고, 심리 프로그램도 지원한다. 새내기 오리엔테이션부터 멘토링 프로그램, 진로 및 취업상담을 하는 것 또한 장애학생 지원실의 중요한 역할이다. 장애인식 개선 교육은 대학 구성원 전체를 대상으로 한 법정의무교육으로, 장애학생 지원실은 더 많은 구성원이 교육에 참여할 수 있도록 여러 형태의 강의를 마련하고 참여를 독려하고 있다."
92,한국,Kangwon,각 캠퍼스에 학생생활관을 저렴하게 운영하여 장거리 거주 학생의 주거 문제 해소,11,각 캠퍼스에 학생생활관을 저렴하게 운영하여 장거리 거주 학생의 주거문제 해소,3,각 캠퍼스에 학생생활관을 저렴하게 운영하여 장거리 거주 학생의 주거문제 해소
90,한국,Kangwon,도서관 회원제에 등록한 지역주민 대상 도서관 교육자료 개방,11,도서관 회원제에 등록한 지역주민 대상 도서관 교육자료 개방,3,도서관 회원제에 등록한 지역주민 대상 도서관 교육자료 개방
48,한국,Kangwon,학생군사교육단 운영규정에 의거 우리대학의 인사관리 규정 적용,8,학생 군사교육단 운영규정에 의거 우리 대학의 인사관리 규정 적용,3,학생 군사교육단 운영규정에 의거 우리 대학의 인사관리 규정 적용
70,한국,Kangwon,기술 사업화 분야 전반과 산학협력 성과 창출을 위한 지속적인 상호 교류,9,기술사업화 분야 전반과 산학협력 성과 창출을 위한 지속적인 상호 교류,3,기술사업화 분야 전반과 산학협력 성과 창출을 위한 지속적인 상호 교류
14,한국,Seoul,"문화 시설 일반인 출입 권한
∙서울대학교 박물관, 서울대학교 미술관, 규장각한국학연구원을 일반인이 무료로 관람할 수 있습니다. 그리고 중앙도서관 자료실을 일반인이 무료로 열람할 수 있고, 일정 회비를 납부하면 대출이 가능합니다. 또한 중앙도서관은 2017년부터 관정관 1층 갤러리에서 다양한 작은 전시회를 개최하고 있습니다.",11,"문화시설 일반인 출입권한 서울대학교 박물관, 서울대학교 미술관, 규장각한국학연구원을 일반인이 무료로 관람할 수 있습니다. 그리고 중앙도서관 자료실을 일반인이 무료로 열람할 수 있고, 일정 회비를 납부하면 대출이 가능합니다. 또한 중앙도서관은 2017년부터 관정관 1층 갤러리에서 다양한 작은 전시회를 개최하고 있습니다.",3,"문화시설 일반인 출입권한 서울대학교 박물관, 서울대학교 미술관, 규장각한국학연구원을 일반인이 무료로 관람할 수 있습니다. 그리고 중앙도서관 자료실을 일반인이 무료로 열람할 수 있고, 일정 회비를 납부하면 대출이 가능합니다. 또한 중앙도서관은 2017년부터 관정관 1층 갤러리에서 다양한 작은 전시회를 개최하고 있습니다."
103,한국,Kyungpook,"경북대학교는 신재생에너지 연구와 산업 육성에 박차를 가하고 있습니다. 신재생에너지 전 분야에서 대학의 연구역량은 이미 국내외에서 인정받고 있습니다. 경북대학교 에너지공학부는 교수 1인당 국제논문 8.11편, 국제논문 4.77편으로 대학 3위에 올랐다. 경북대학교는 수소에너지 기반에서 저장·활용·환원에 관한 수소에너지 연구 핵심연구단을 구성해 생산 촉진 및 관련 협력주제를 구축할 계획이다. 이러한 강점을 바탕으로 현지 기업들과 적극 협력하여 향후 수소에너지 산업 발전에 기여하겠습니다.",7,"경북대학교는 신재생에너지 연구와 산업 육성에 박차를 가하고 있습니다. 신재생에너지 전 분야에서 대학의 연구역량은 이미 국내외에서 인정받고 있습니다. 경북대학교 에너지공학부는 교수 1인당 국제논문 8.11편, 국제논문 4.77편으로 대학 3위에 올랐다. 경북대학교는 수소에너지 기반에서 저장 활용 환원에 관한 수소에너지 연구 핵심 연구단을 구성해 생산촉진 및 관련 협력주제를 구축할 계획이다. 이러한 강점을 바탕으로 현지 기업들과 적극 협력하여 향후 수 소에너지산업 발전에 기여하겠습니다.",3,경북대학교는 신재생에너지 연구와 산업 육성에 박차를 가하고 있습니다. 신재생에너지 전 분야에서 대학의 연구역량은 이미 국내외에서 인정받고 있습니다. 경북대학교 에너지공학부는 교수 1인당 국제논문 8
121,한국,Kyungpook,"경북대학교는 신재생에너지 연구와 산업 육성에 박차를 가하고 있습니다. 신재생에너지 전 분야에서 대학의 연구역량은 이미 국내외에서 인정받고 있습니다. 경북대학교 에너지공학부는 교수 1인당 국제논문 8.11편, 국제논문 4.77편으로 대학 3위에 올랐다. 경북대학교는 수소에너지 기반에서 저장·활용·환원에 관한 수소에너지 연구 핵심연구단을 구성해 생산 촉진 및 관련 협력주제를 구축할 계획이다. 이러한 강점을 바탕으로 현지 기업들과 적극 협력하여 향후 수소에너지 산업 발전에 기여하겠습니다.",7,"경북대학교는 신재생에너지 연구와 산업 육성에 박차를 가하고 있습니다. 신재생에너지 전 분야에서 대학의 연구역량은 이미 국내외에서 인정받고 있습니다. 경북대학교 에너지공학부는 교수 1인당 국제논문 8.11편, 국제논문 4.77편으로 대학 3위에 올랐다. 경북대학교는 수소에너지 기반에서 저장 활용 환원에 관한 수소에너지 연구 핵심 연구단을 구성해 생산촉진 및 관련 협력주제를 구축할 계획이다. 이러한 강점을 바탕으로 현지 기업들과 적극 협력하여 향후 수 소에너지산업 발전에 기여하겠습니다.",3,경북대학교는 신재생에너지 연구와 산업 육성에 박차를 가하고 있습니다. 신재생에너지 전 분야에서 대학의 연구역량은 이미 국내외에서 인정받고 있습니다. 경북대학교 에너지공학부는 교수 1인당 국제논문 8
69,한국,Kangwon,국내 자생식물 유래 탈모완화 기능성 천연 신소재에 대한 기술이전 계약 체결,9,국내 자생식물 유래 탈모완화 기능성 천연신소재에 대한 기술이전 계약 체결,3,국내 자생식물 유래 탈모완화 기능성 천연신소재에 대한 기술이전 계약 체결
116,한국,Kyungpook,"경북대학교 학생상담센터는 대학생의 자살예방활동 성과를 평가하여 교육부 주관 '대학생 자살예방추진사업' 우수사례로 선정되었습니다. 경북대학교 학생상담센터는 심리적 지원이 필요한 사람들에게 조기 상담을 제공하기 위해 매년 신입생을 대상으로 전체 정신건강 설문조사를 실시하고 있으며, 대학생들의 정신건강 문제 대응을 위한 네트워크를 구축하고 있습니다. 또한 자살예방 게이트키퍼 양성, 자살예방 및 삶의 의미에 대한 특강, 맞춤형 심리지원 제공 등 다양한 사업을 통해 모범사례 도입을 인정받고 있다.",10,"경북대학교 학생상담센터는 대학생의 자살예방 활동성과를 평가하여 교육부 주관 대학생 자살예방 추진사업 우수사례로 선정되었습니다. 경북대학교 학생상담센터는 심리적 지원이 필요한 사람들에게 조기 상담을 제공하기 위해 매년 신입생을 대상으로 전체 정신건강 설문조사를 실시하고 있으며, 대학생들의 정신건강 문제 대응을 위한 네트워크를 구축하고 있습니다. 또한 자살예방 게이트 키퍼 양성, 자살예방 및 삶의 의미에 대한 특강, 맞춤형 심리지원 제공 등 다양한 사업 을 통해 모범사례 도입을 인정받고 있다.",3,"경북대학교 학생상담센터는 대학생의 자살예방 활동성과를 평가하여 교육부 주관 대학생 자살예방 추진사업 우수사례로 선정되었습니다. 경북대학교 학생상담센터는 심리적 지원이 필요한 사람들에게 조기 상담을 제공하기 위해 매년 신입생을 대상으로 전체 정신건강 설문조사를 실시하고 있으며, 대학생들의 정신건강 문제 대응을 위한 네트워크를 구축하고 있습니다. 또한 자살예방 게이트 키퍼 양성, 자살예방 및 삶의 의미에 대한 특강, 맞춤형 심리지원 제공 등 다양한 사업 을 통해 모범사례 도입을 인정받고 있다."
