,국가,대학교명,번역,분류,번역_전처리,5분류,요약
8,한국,Seoul,"지역사회 교육 프로그램
∙ 중앙도서관과 규장각, 평생교육원을 중심으로 대중에게 개방되는 공개 강의와 지역사회를 위한 교육 행사가 정기적으로 진행되고 있습니다. 
∙ ‘문화가 함께하는 도서관’ 프로그램을 통해 미술전시회, 북콘서트, 음악회, 명사초청 강연, 별빛 영화제 등 복합문화 공간으로서의 도서관 역할을 강화하고 있습니다. 
규장각 금요 시민강좌를 통해 일반시민들이 한국학에
관한 전문 강의를 접할 기회를 제공합니다. 지역사회
고교생 체험 캠프는 휴먼 라이브러리, 고문헌 전시자
료와 도서관 투어, 명사특강 등으로 구성한 프로그램으
로 매년 100명 정도의 고등학생들이 참여하고 있습니
다. 인권센터는 주제를 달리한 인권강좌를 주최해 학
내 외 전문가들에게 심도 있는 강의를 제공합니다.",4,"지역사회교육 프로그램 중앙도서관과 규장각, 평생교육원을 중심으로 대중에게 개방되는 공개강의와 지역사회를 위한 교육행사가 정기적으로 진행되고 있습니다.문화가 함께하는 도서관 프로그램을 통해 미술 전시회, 북콘서트, 음악회, 명사 초청 강연, 별빛영화제 등 복합문화공간으로서의 도서관 역할을 강화하고 있습니다. 규장각 금요시민 강좌를 통해 일반 시민들이 한국학에 관한 전문 강의를 접할 기회를 제공합니다.지역사회 고교생 체험캠프는 휴먼 라이브러리 , 고문헌 전시 자료와 도서관 투어, 명사특강 등으로 구성한 프로그램으로 매년 100명 정도의 고등학생들이 참여하고 있습니다. 인권센터는 주제를 달리한 인권 강좌를 주최해 학내외 전문가들에게 심도 있는 강의를 제공합니다.",1," 함께하는 도서관 프로그램을 통해 미술 전시회, 북콘서트, 음악회, 명사 초청 강연, 별빛영화제 등 복합문화공간으로서의 도서관 역할을 강화하고 있습니다. 규장각 금요시민 강좌를 통해 일반 시민들이 한국학에 관한 전문 강의를 접할 기회를 제공합니다"
5,한국,Seoul,"개발도상국 의료 지원 ∙서울대학교 의과대학은 ‘이종욱-서울 프로젝트’를 통해 라오스에 보건의료 개혁을 지원하는 등, 열악한 의료기술과 환경에 놓여있는 개발도상국에 의료 지원을 하고 있습니다. ∙서울대학교 치과대학은 ‘미얀마 치과대학 역량강화와 우수인재 양성을 통한 구강 보건 향상’ 사업을 진행했습니다.",3,"개발도상국 의료지원 서울대학교 의과대학은 이종욱 서울 프로젝트를 통해 라오스에 보건의료 개혁을 지원하는 등, 열악한 의료기술과 환경에 놓여 있는 개발도상국에 의료지원을 하고 있습니다. 서울대학교 치과대학은 미얀마 치과대학 역량 강화와 우수 인재 양성을 통한 구강보건 향상 사업을 진행했습니다.",1,"개발도상국 의료지원 서울대학교 의과대학은 이종욱 서울 프로젝트를 통해 라오스에 보건의료 개혁을 지원하는 등, 열악한 의료기술과 환경에 놓여 있는 개발도상국에 의료지원을 하고 있습니다. 서울대학교 치과대학은 미얀마 치과대학 역량 강화와 우수 인재 양성을 통한 구강보건 향상 사업을 진행했습니다."
53,한국,Kangwon,"지역주민 대상 숲 해설, 학술림 탐방, 목공체험 제공",2,"지역주민 대상 숲해설, 학술림 탐방, 목공체험 제공",1,"지역주민 대상 숲해설, 학술림 탐방, 목공체험 제공"
3,한국,Seoul,"지역사회 건강과 복지 향상에 기여
∙ 지역사회 공공 보건활동, 의과대학의 지역사회학 실습,
지역사회 건강조사 사업, 정신건강 지원 사업, 지역 보
건기관 운영 및 자문 참여, 자원봉사 프로그램 등을
진행하여 지역사회의 건강과 복지 향상에 기여하고 있
습니다. ∙ 장애아동 체육교실 ‘SNU FUN & KICK’, 유아와 아동
을 위한 ‘운동발달교실’, 주민들을 위한 ‘5060 골든웰
빙 운동 프로그램’ 등 지역사회 주민들을 대상으로 한
스포츠 프로그램을 개설하고 스포츠 시설을 개방합니다.",3,"지역사회 건강과 복지 향상에 기여 지역사회 공공보건활동, 의과대학의 지역사회학 실습, 지역사회 건강조사사업, 정신건강지원사업, 지역보건기관운영 및 자문참여, 자원봉사 프로그램 등을 진행하여 지역사회의 건강과 복지 향상에 기여하고 있습니다. 장애아동체육교실 SNUFUNKICK, 유아와 아동을 위한 운동발달 교실, 주민들을 위한 5060골든 웰빙운동 프로그램 등 지역사회 주민들을 대상으로 한 스포츠 프로그램을 개설하고 스포츠시설을 개방합니 다.",1,"지역사회 건강과 복지 향상에 기여 지역사회 공공보건활동, 의과대학의 지역사회학 실습, 지역사회 건강조사사업, 정신건강지원사업, 지역보건기관운영 및 자문참여, 자원봉사 프로그램 등을 진행하여 지역사회의 건강과 복지 향상에 기여하고 있습니다. 장애아동체육교실 SNUFUNKICK, 유아와 아동을 위한 운동발달 교실, 주민들을 위한 5060골든 웰빙운동 프로그램 등 지역사회 주민들을 대상으로 한 스포츠 프로그램을 개설하고 스포츠시설을 개방합니 다."
32,한국,Kangwon,빈곤과 개발협력 관련 사례 연구를 통한 국제개발에 대한 이해와 관심 제고,1,빈곤과 개발협력 관련 사례연구를 통한 국제개발에 대한 이해와 관심 제고,1,빈곤과 개발협력 관련 사례연구를 통한 국제개발에 대한 이해와 관심 제고
81,한국,Kangwon,지역의 우수한 영재를 발굴하여 전문 교육 제공을 통한 진로탐색 지원,4,지역의 우수한 영재를 발굴하여 전문교육 제공을 통한 진로탐색 지원,1,지역의 우수한 영재를 발굴하여 전문교육 제공을 통한 진로탐색 지원
75,한국,Kangwon,"지역의 경력단절 및 미취업자, 청년 대상 강사 양성과정 운영",4,"지역의 경력단절 및 미취업자, 청년대상 강사 양성과정 운영",1,"지역의 경력단절 및 미취업자, 청년대상 강사 양성과정 운영"
13,한국,Ajou,"아주대학교는 매년 한국장학재단과의 협업으로 기초생활수급자 및 차상위계층 포함한 지원 소득 5분위
이내 학생의 해외대학 연수 프로그램 ‘파란사다리’ 사업을 시행한다. 본교 국제교류팀에서 시행하는 파란
사다리 사업은 사회적 취약계층 대학생에게 글로벌 진로탐색 경험을 제공함으로써 개인의 진로역량 개발
및 진로개척의 기회를 열어주고 사회진출 이전 출발점을 동일하게 맞춰주는 교육의 사다리 체계 구축을
목적으로 시행된다.
2021년 파란사다리 사업에서 본교는 총 90명의 학생을 모집하여 파견했으며, 미국 워싱턴대학교, 에스
토니아 탈린대학교, 미국 케터링대학교가 파견 대학으로 참여한다. 또한, 이번 사업은 코로나19 확산으로
인하여 전면 온라인 연수로 진행한다. 아주대학교는 파란사다리 사업을 통해 어려운 생활 여건에서도
학업에 최선을 다하는 학생에게 해외대학 연수 기회를 제공하여 성공적인 졸업을 지원한다.",1,"아주대학교는 매년 한국장학재단과의 협업으로 기초생활수급자 및 차상위계층 포함한 지원소득 5분위 이내 학생의 해외대학 연수 프로그램 파란 사다리 사업을 시행한다.본 교국제교류팀에서 시행하는 파란 사다리 사업은 사회적 취약계층 대학생에게 글로벌 진로탐색 경험을 제공함으로써 개인의 진로역량 개발 및 진로개척의 기회를 열어주고 사회진출이 전 출발점을 동일하게 맞춰주는 교육의사다리 체계 구축을 목적으로 시행된다.2021년 파란 사다리 사업에서 본교는 총 90명의 학생을 모집하여 파견했으며, 미국 워싱턴대학교, 에스토니아 탈린대학교, 미국 케터링대학교가 파견대학으로 참여한다. 또한, 이번 사업은 코로나 19 확산으로 인하여 전면 온라인 연수로 진행한다.아주대학교는 파란 사다리 사업을 통해 어려운 생활여건에서도 학업에 최선을 다하는 학생에게 해외 대학 연수 기회를 제공하여 성공적인 졸업을 지원한다.",1, 파란 사다리 사업을 통해 어려운 생활여건에서도 학업에 최선을 다하는 학생에게 해외 대학 연수 기회를 제공하여 성공적인 졸업을 지원한다.
100,한국,Kangwon,육아와 학업을 병행하는 여성 석‧박사생 대상 장학금을 지급하여 양성평등교육 기여,5,육아와 학업을 병행하는 여성석 박사 생대상 장학금을 지급하여 양성평등교육기여,1,육아와 학업을 병행하는 여성석 박사 생대상 장학금을 지급하여 양성평등교육기여
31,한국,Kangwon,빈곤‧국제기구‧개발정책 교육을 통한 국제개발협력 분야 전문 인력 양성,1,빈곤국제기구 개발정책 교육을 통한 국제개발협력 분야 전문인력 양성,1,빈곤국제기구 개발정책 교육을 통한 국제개발협력 분야 전문인력 양성
52,한국,Kangwon,지역주민 대상 교육‧체험시설 제공,2,지역주민 대상 교육체험시설 제공,1,지역주민 대상 교육체험시설 제공
97,한국,Kangwon,현직 여성 멘토를 초청한 토크 콘서트를 개최하여 여대생의 취업 역량 강화,5,현직 여성 멘토를 초청한 토크 콘서트를 개최하여 여대생의 취업역량 강화,1,현직 여성 멘토를 초청한 토크 콘서트를 개최하여 여대생의 취업역량 강화
51,한국,Kangwon,"지역의 중소기업, 여성기업, 장애인기업 등의 안정적 성장 도모를 위한 제품 우선구매",2,"지역의 중소기업, 여성기업, 장애인기업 등의 안정적 성장도모를 위한 제품 우선구매",1,"지역의 중소기업, 여성기업, 장애인기업 등의 안정적 성장도모를 위한 제품 우선구매"
49,한국,Kangwon,농업분야의 경쟁력을 갖춘 전문인력 양성을 위한 교육 제공,2,농업분야의 경쟁력을 갖춘 전문인력 양성을 위한 교육제공,1,농업분야의 경쟁력을 갖춘 전문인력 양성을 위한 교육제공
82,한국,Kangwon,농업분야의 경쟁력을 갖춘 전문인력 양성을 위한 교육 제공,4,농업분야의 경쟁력을 갖춘 전문인력 양성을 위한 교육제공,1,농업분야의 경쟁력을 갖춘 전문인력 양성을 위한 교육제공
69,한국,Kangwon,자살예방 메시지 전달 및 생명존중 의식 고취,3,자살예방 메시지 전달 및 생명존중의식 고취,1,자살예방 메시지 전달 및 생명존중의식 고취
64,한국,Kangwon,심폐소생술 실습 등으로 지역주민에게 응급처치 방법 전달,3,심폐소생술 실습 등으로 지역주민에게 응급처치 방법 전달,1,심폐소생술 실습 등으로 지역주민에게 응급처치 방법 전달
1,한국,Seoul,구성원의 식사/기아 문제 해결 - “천원의 식사” ∙서울대학교에서는 재학생 대상으로 ‘천원의 식사’ 코너를 운영하여 저소득층 학생들의 식비 부담을 줄이고 건강 향상에 기여하고 있습니다. ‘천원의 식사’는 가격에 비해 양질의 식사를 제공하여 구성원에게 인기가 높습니다. 학교 생협 직영 식당 6개소에서는 건강하고 저렴한 음식을 제공하기 위해 구성원들에게 식비 가격을 기준 가격보다 할인해 주고 있습니다.,2,구성원의 식사기아 문제 해결 천원의 식사서울대학교에서는 재학생 대상으로 천원의 식사코너를 운영하여 저소득층 학생들의 식비 부담을 줄이고 건강 향상에 기여하고 있습니다. 천 원의 식사는 가격에 비해 양질의 식사를 제공하여 구성원에게 인기가 높습니다. 학교생협 직영식당 6개소에서는 건강하고 저렴한 음식을 제공하기 위해 구성원들에게 식비가격을 기준가격보다 할인해주고 있습니다.,1,구성원의 식사기아 문제 해결 천원의 식사서울대학교에서는 재학생 대상으로 천원의 식사코너를 운영하여 저소득층 학생들의 식비 부담을 줄이고 건강 향상에 기여하고 있습니다. 천 원의 식사는 가격에 비해 양질의 식사를 제공하여 구성원에게 인기가 높습니다. 학교생협 직영식당 6개소에서는 건강하고 저렴한 음식을 제공하기 위해 구성원들에게 식비가격을 기준가격보다 할인해주고 있습니다.
22,한국,Ajou,"아주대학교의료원이 산업통상자원부, 한국산업기술진흥원 (KIAT)이 주관하는 ‘바이오융복합 기술 전문인력양성사업’에 선정됐다. 이번 사업 수행을 위해 아주대학교, 건양대학교, 청주대학교, 한국바이오협회로 컨소시엄을 구성하였으며, 2021년부터 2026년까지 5년간 정부출연금 약 75억원을 지원받게 된다. 아주대학교는 의과대학을 중심으로 소프트웨어학과, 전자공학과, 약학과 등 총 7개 학과로 내부 컨소 시엄을 구성하여 디지털헬스케어 분과를 담당하며, 기존에 구축되어 있던 교육인프라를 활용하여 빅데이터, AI, SW, IoT 기술 등 기술 융복합을 통한 의료데이터 정보 플랫폼 교육을 제공할 예정이다.",3,"아주대학교 의료원 이 산업통상자원부, 한국산업기술진흥원 KIAT 이 주관하는 바이오 융복합기술 전문인력 양성사업에 선정됐다. 이번 사업 수행을 위해 아주대학교, 건양대학교, 청주대학교, 한국바이오협회로 컨소시엄을 구성하였으며, 2021년부터 2026년까지 5년간 정부출연금 약 75억원을 지원받게 된다.아주대학교는 의과대학을 중심으로 소프트웨어학과, 전자공학과, 약학과 등 총 7개 학과로 내부 컨소시엄을 구성하여 디지털 헬스케어 분과 를 담당하며, 기존에 구축되어 있던 교육 인프라를 활용하여 빅데이터, AI, SW, IoT 기술 등 기술 융복합을 통한 의료 데이터 정보 플랫폼 교육을 제공할 예정이다.",1," 의과대학을 중심으로 소프트웨어학과, 전자공학과, 약학과 등 총 7개 학과로 내부 컨소시엄을 구성하여 디지털 헬스케어 분과 를 담당하며, 기존에 구축되어 있던 교육 인프라를 활용하여 빅데이터, AI, SW, IoT 기술 등 기술 융복합을 통한 의료 데이터 정보 플랫폼 교육을 제공할 예정이다."
7,한국,Seoul,"지역사회에 교육 프로그램과 교육 자원 제공
∙중앙도서관, 평생교육원, 규장각, 인권센터를 중심으로 지역사회 구성원에게 교육 프로그램을 제공합니다.
∙SNUON 공개 강좌 및 세계적인 대규모 온라인 공개수업 플랫폼 에덱스(edX)에 서울대학교 강좌를 개설하여 운영하고 있습니다.
∙K-MOOC (Korea-Massive Open Online Course)에 45개 강좌를 운영하여 대중들에게 교육자원 접근성을 높이고 있습니다.",4,"지역사회에 교육 프로그램과 교육자원 제공중앙도서관, 평생교육원, 규장각, 인권센터를 중심으로 지역사회 구성원에게 교육 프로그램을 제공합니다. SNUON 공개강좌 및 세계적인 대규모 온라인 공개수업 플랫폼에 덱스edX에 서울대학교 강좌를 개설하여 운영하고 있습니다. KMOOCKoreaMassiveOpenO nlineCourse에 45개 강좌를 운영하여 대중들에게 교육자원 접근성을 높이고 있습니다.",1,"지역사회에 교육 프로그램과 교육자원 제공중앙도서관, 평생교육원, 규장각, 인권센터를 중심으로 지역사회 구성원에게 교육 프로그램을 제공합니다. SNUON 공개강좌 및 세계적인 대규모 온라인 공개수업 플랫폼에 덱스edX에 서울대학교 강좌를 개설하여 운영하고 있습니다. KMOOCKoreaMassiveOpenO nlineCourse에 45개 강좌를 운영하여 대중들에게 교육자원 접근성을 높이고 있습니다."
28,한국,Ajou,"아주대학교 법학전문대학원은 경력단절 여성을 위하여 수원시와 함께 ‘거꾸로 취업지원!’ 사업을 진행 하였다. ‘거꾸로 취업지원!’은 법률서비스 시장 확대에 따른 법률 관련 전문인력 수요에 대응하여 아주대 학교 로스쿨의 법률인프라·네트워크 및 교육커리큘럼을 활용하여 경력단절여성의 법률사무원 전문인력 양성 및 취업연계를 지원하는 사업이다. 구직 희망 여성에게는 재취업의 기회를, 기업에게는 역량 있는 여성인재 채용의 기회를, 지역사회에는 잠재 인력의 활용을 통한 경쟁력 확대를 목적으로 추진되었다.",5,"아주대학교 법학전문대학원은 경력단절 여성을 위하여 수원시와 함께 거꾸로 취업지원사업을 진행하였다. 거꾸로 취업지원은 법률서비스 시장 확대에 따른 법률 관련 전문인력 수요에 대응하여 아주대학교 로스쿨의 법률 인프라 네트워크 및 교육 커리큘럼을 활용하여 경력단절 여성의 법률사무원 전문인력 양성 및 취업연계를 지원하는 사업이다. 구직 희망 여성에게는 재취업의 기회를, 기업에게는 역량 있는 여성인재 채용의 기회를, 지역사회에는 잠재 인력의 활용을 통한 경쟁 력 확대를 목적으로 추진되었다.",1,"아주대학교 법학전문대학원은 경력단절 여성을 위하여 수원시와 함께 거꾸로 취업지원사업을 진행하였다. 거꾸로 취업지원은 법률서비스 시장 확대에 따른 법률 관련 전문인력 수요에 대응하여 아주대학교 로스쿨의 법률 인프라 네트워크 및 교육 커리큘럼을 활용하여 경력단절 여성의 법률사무원 전문인력 양성 및 취업연계를 지원하는 사업이다. 구직 희망 여성에게는 재취업의 기회를, 기업에게는 역량 있는 여성인재 채용의 기회를, 지역사회에는 잠재 인력의 활용을 통한 경쟁 력 확대를 목적으로 추진되었다."
89,한국,Kangwon,교수회 규정에 근거하여 부회장 임원에 대한 참여 보장,5,교수회 규정에 근거하여 부회장 임원에 대한 참여 보장,1,교수회 규정에 근거하여 부회장 임원에 대한 참여 보장
60,한국,Kangwon,"우울, 불안 해소 및 대인관계 향상 등 학생들의 건강한 대학생활을 위한 심리 상담 운영",3,"우울, 불안 해소 및 대인관계 향상 등 학생들의 건강한 대학생활을 위한 심리상담 운영",1,"우울, 불안 해소 및 대인관계 향상 등 학생들의 건강한 대학생활을 위한 심리상담 운영"
101,한국,Kangwon,각 학과별 여성 지원자와 입학자 수 수록,5,각 학과별 여성 지원자와 입학자 수수록,1,각 학과별 여성 지원자와 입학자 수수록
2,한국,Seoul,"지속가능한 농업 지식/기술 제공 ∙농업생명과학대학에서는 지속가능농업 분야 관련 정규 교과목을 개설하고 연간 546명의 졸업생을 배출하고 있으며, 지속가능 분야의 전문가 초청 강연을 진행하고 있습니다. 식물병원에서는 ‘나무의사 양성과정’, ‘수목치료사 양성과정’ 프로그램을 통해 수목의 보호, 관리에 대한 교육과 연구, 병해충 진단 컨설팅을 하고 있으며, 농산업･식품 생산자들에게는 지속가능한 농업 지식을 제공하고 있습니다.",2,"지속가능한 농업지식기술 제공농업생명과학대학에서는 지속가능농업 분야 관련 정규교과목을 개설하고 연간 546명의 졸업생을 배출하고 있으며, 지속가능 분야의 전문가 초청 강연을 진행하고 있습니다. 식물병원에서는 나무의 사양성과정, 수목치료 사 양성과 정 프로그램을 통해 수목의 보호, 관리에 대한 교육과 연구, 병해충 진단 컨설팅을 하고 있으며, 농산업 식품생산자들에게는 지속가능한 농업지식을 제공하고 있습니다.",1,"지속가능한 농업지식기술 제공농업생명과학대학에서는 지속가능농업 분야 관련 정규교과목을 개설하고 연간 546명의 졸업생을 배출하고 있으며, 지속가능 분야의 전문가 초청 강연을 진행하고 있습니다. 식물병원에서는 나무의 사양성과정, 수목치료 사 양성과 정 프로그램을 통해 수목의 보호, 관리에 대한 교육과 연구, 병해충 진단 컨설팅을 하고 있으며, 농산업 식품생산자들에게는 지속가능한 농업지식을 제공하고 있습니다."
59,한국,Kangwon,"중독과 트라우마 회복을 위해 예방과 개입에 필요한 실천 방향 제시, 전문가 양성, 학문적 기틀 마련",3,"중독과 트라우마 회복을 위해 예방과 개입에 필요한 실천방향 제시, 전문가 양성, 학문적 기틀 마련",1,"중독과 트라우마 회복을 위해 예방과 개입에 필요한 실천방향 제시, 전문가 양성, 학문적 기틀 마련"
