,국가,대학교명,번역,분류,번역_전처리,5분류,요약
4,한국,Ajou,"아주대학교는 지난 7월 인구증가와 경제성장으로 발생된 지구의 문제를 들여다보고, 더 나은 사회, 더 나은 환경을 위한 실천 과제를 함께 고민하는 '지속가능발전리더 양성과정' 교육을 진행하였다. 해당 교육과정은 SDGs와 관련한 지속가능발전, 물 거버넌스, 재생에너지, 사회적 경제, 생애주기형 복지, 수원 지역 사회에 대한 주제로 이루어졌다. 또한, 이번 사업은 수원지속가능발전협의회와의 협업으로 추진되었으며 수원시 관내 대학교에 재학중인 대학생과 청년, 수원시민 모두 참여할 수 있는 열린 교육으로 진행됐다.",17,"아주대학교는 지난 7월 인구 증가와 경제성장으로 발생된 지구의 문제를 들여다보고, 더 나은 사회, 더 나은 환경을 위한 실천과제를 함께 고민하는 지속가능발전 리더 양성과정 교육을 진행하였다. 해당 교육과정은 SDGs와 관련한 지속가능발전, 물거버넌스, 재생에너지, 사회적경제, 생애주기형 복지, 수원지역사회에 대한 주제로 이루어졌다. 또한, 이번 사업은 수원 지속가능발전협의회와의 협업으로 추진되었으며 수원시 관내 대학교에 재학 중인 대학생과 청년 , 수원시민 모두 참여할 수 있는 열린교육으로 진행됐다.",5,"아주대학교는 지난 7월 인구 증가와 경제성장으로 발생된 지구의 문제를 들여다보고, 더 나은 사회, 더 나은 환경을 위한 실천과제를 함께 고민하는 지속가능발전 리더 양성과정 교육을 진행하였다. 해당 교육과정은 SDGs와 관련한 지속가능발전, 물거버넌스, 재생에너지, 사회적경제, 생애주기형 복지, 수원지역사회에 대한 주제로 이루어졌다. 또한, 이번 사업은 수원 지속가능발전협의회와의 협업으로 추진되었으며 수원시 관내 대학교에 재학 중인 대학생과 청년 , 수원시민 모두 참여할 수 있는 열린교육으로 진행됐다."
10,한국,Kangwon,강원 ODA 동향 홍보 및 도 내 국제개발협력 리서치 활동 진행,17,강원ODA 동향 홍보 및 도내 국제개발협력리서치 활동 진행,5,강원ODA 동향 홍보 및 도내 국제개발협력리서치 활동 진행
15,한국,Kangwon,강원국제개발협력센터 뉴스레터에 SDG를 안내하여 구성원의 인식 제고,17,강원국제개발협력센터 뉴스레터에 SDG를 안내하여 구성원의 인식 제고,5,강원국제개발협력센터 뉴스레터에 SDG를 안내하여 구성원의 인식 제고
2,한국,Seoul,"개도국 지원을 통한 SDGs 동참
∙ 서울대학교 국제대학원은 한국국제협력단의 지원을 받
아서 개발도상국 공무원을 대상으로 개발협력정책 프
로그램을 진행하여 2008년부터 12년간 180명 이상의
개발도상국 공무원들이 국제개발 관련 논문을 작성하
여 석사학위를 취득하였습니다.
∙ 서울대학교 글로벌사회공헌단을 통해 서울대 학생들은
하계와 동계에 국제사회 교육 소외지역 교육, 정수시
설과 농업환경 개선 적정기술, 전통문화와 K-POP 문화
교류 등 해외봉사 활동을 해왔으며, 2019년에는 779명
이 참여했습니다.",17,"개도국 지원을 통한 SDGs 동참 서울대학교 국제대학원은 한국국제협력단의 지원을 받아서 개발도상국 공무원을 대상으로 개발협력 정책 프로그램을 진행하여 2008년부터 12년간 180명 이상의 개발도상국 공무원들이 국제개발 관련 논문을 작성하여 석사학위를 취득하였습니다. 서울대학교 글로벌사회공헌단을 통해 서울대 학생들은 하계와 동계에 국제사회교육 소외지역 교육, 정수시설과 농업환경 개선적 정기술, 전통문화와 KPOP 문화교류 등 해외봉사활 동을 해왔으며, 2019년에는 779명이 참여했습니다.",5,"개도국 지원을 통한 SDGs 동참 서울대학교 국제대학원은 한국국제협력단의 지원을 받아서 개발도상국 공무원을 대상으로 개발협력 정책 프로그램을 진행하여 2008년부터 12년간 180명 이상의 개발도상국 공무원들이 국제개발 관련 논문을 작성하여 석사학위를 취득하였습니다. 서울대학교 글로벌사회공헌단을 통해 서울대 학생들은 하계와 동계에 국제사회교육 소외지역 교육, 정수시설과 농업환경 개선적 정기술, 전통문화와 KPOP 문화교류 등 해외봉사활 동을 해왔으며, 2019년에는 779명이 참여했습니다."
6,한국,Ajou,"아주대학교는 아주비전 4.0의 발전전략 '연결지성 기반 구출 및 문화확산'의 전략과제인 '지속가능 대학문화 확산'을 위하여 SDGs(Sustainable Development Goals) 체계 구축 및 운영을 세부사업으로 설정하고 시행하기 위한 아주지속가능발전센터를 설립하였다. 아주지속가능발전센터는 매년 아주대학교 지속가능 발전보고서를 발간하여, 교내 SDGs 활동 모니터링 업무를 기반으로 하는 활동 정보를 학생, 교직원 등 교내 구성원에게 홍보하고 각 목표에 따른 부서 사업 활동을 촉진하고자 한다. 특히, ‘아주대학교 지속가능 발전보고서 2020’에서는 SDGs의 모든 목표를 소개 하고 아주비전 4.0과의 관계를 소개하면서 교내 활동을 SDGs와 연관하여 해당 활동이 사회에 이바지하는 의미를 더욱 부각하였다. 한편, 아주대학교는 대학 본연의 역할인 교육, 연구, 봉사의 지향점을 국제사회 목표인 SDGs에 정밀하게 맞추어 대학의 발전방향 및 운영계획을 수립하고 시행 함으로써, 지역사회에 이바지하고 국가 및 국제사회가 필요로 하는 AJOU 인재를 배출하고자 한다.",17,"아주대학교는 아주 비전 4.0의 발전전략 연결지성 기반 구출 및 문화 확산의 전략과제인 지속가능대학 문화 확산을 위하여 SDGsSustainableDevelopm entGoals 체계 구축 및 운영을 세부 사업으로 설정하고 시행하기 위한 아주 지속가능발전센터를 설립하였다.아주 지속가능발전센터는 매년 아주대학교 지속가능발전보고서를 발간하여, 교내 SDGs 활동 모니터링 업무를 기반으로 하는 활동정보를 학생, 교직원 등 교내 구성원에게 홍보 하고 각 목표에 따른 부서 사업 활동을 촉진하고자 한다. 특히, 아주대학교 지속가능발전보고서 2020에서는 SDGs의 모든 목표를 소개하고 아주 비전 4.0과의 관계를 소개하면서 교내 활동을 SDGs와 연관하여 해당 활동이 사회에 이바지하는 의미를 더욱 부각하였다. 한편, 아주대학교는 대학 본연의 역할인 교육, 연구, 봉사의 지향점을 국제사회 목표인 SDGs에 정밀하게 맞추어 대학의 발전 방향 및 운영계획을 수립하고 시행함으로써, 지역사회에 이바지하 고 국가 및 국제사회가 필요로 하는 AJOU 인재를 배출하고자 한다.",5," 지속가능발전센터는 매년 아주대학교 지속가능발전보고서를 발간하여, 교내 SDGs 활동 모니터링 업무를 기반으로 하는 활동정보를 학생, 교직원 등 교내 구성원에게 홍보 하고 각 목표에 따른 부서 사업 활동을 촉진하고자 한다. 특히, 아주대학교 지속가능발전보고서 2020에서는 SDGs의 모든 목표를 소개하고 아주 비전 4"
1,한국,Seoul,SDGs 관련 저명 인사 강연SDGs-related Lectures by Prominent Figures∙서울대학교 국제대학원은 2019년 4월에 여성 최초로 UNESCO 사무총장을 역임한 이리나 보코바 전 사무총장을 초청하여 공개 강연을 개최했습니다. 서울대학교 행정대학원 아시아개발연구소는 2019년 12월에 유엔세계식량계획 무한나드 하디 박사를 초청하여 공개 강연을 개최했습니다. 서울대학교 아시아연구소는 2016년 5월에 전 UN 사무총장 기후변화 수석자문관을 초청하여 특별강연을 개최했습니다.,17,SDGs 관련 저명인사 강연 SDGsrelatedLecturesbyProminentFigures 서울대학교 국제대학원은 2019년 4월에 여성 최초로 UNESCO 사무총장을 역임한 이리나 보코바 전 사무총장을 초청하여 공개 강연을 개최했습니다. 서울대학교 행정대학원 아시아개발연구소는 2019년 12월에 유엔 세계식량계획 무한나드 하디 박사를 초청하여 공개 강연을 개최했습니다. 서울대학교 아시아연구소는 2016년 5월에 전U N사무총장 기후변화 수석자문관을 초청하여 특별강연을 개최했습니다.,5,SDGs 관련 저명인사 강연 SDGsrelatedLecturesbyProminentFigures 서울대학교 국제대학원은 2019년 4월에 여성 최초로 UNESCO 사무총장을 역임한 이리나 보코바 전 사무총장을 초청하여 공개 강연을 개최했습니다. 서울대학교 행정대학원 아시아개발연구소는 2019년 12월에 유엔 세계식량계획 무한나드 하디 박사를 초청하여 공개 강연을 개최했습니다. 서울대학교 아시아연구소는 2016년 5월에 전U N사무총장 기후변화 수석자문관을 초청하여 특별강연을 개최했습니다.
3,한국,Seoul,"SDGs 문제 해결을 위한 NGO와 협력
∙ 서울대학교 의과대학, 보건대학원, 아시아연구소, 국제
개발NGO 사단법인 캠프가 주관하여 ‘SDGs를 위한 현
지 커뮤니티의 역할’ 국제 심포지엄이 2017년 4월에
개최되었습니다. 또한 SDGs시민넷이 주관한 2017년
6월 한국시민사회 SDGs 네트워크 제2차 역량강화 프
로그램 세미나, 2019년 11월 열린 SDGs 포럼에 서울
대 교수들이 참여했습니다.",17,"SDGs 문제 해결을 위한 NGO와 협력서울대학교 의과대학, 보건대학원, 아시아연구소, 국제개발NGO사단법인 캠프가 주관하여 SDGs를 위한 현지 커뮤니티의 역할 국제심포지엄이 2017년 4월에 개최되었습니다. 또한 SDGs 시민넷이 주관한 2017년 6월 한국시민사회SDGs네트워크 제2차 역량 강화 프로그램 세미나, 2019년 11월 열린 SDGs포럼에서울대 교수들이 참여했습니다.",5,"SDGs 문제 해결을 위한 NGO와 협력서울대학교 의과대학, 보건대학원, 아시아연구소, 국제개발NGO사단법인 캠프가 주관하여 SDGs를 위한 현지 커뮤니티의 역할 국제심포지엄이 2017년 4월에 개최되었습니다. 또한 SDGs 시민넷이 주관한 2017년 6월 한국시민사회SDGs네트워크 제2차 역량 강화 프로그램 세미나, 2019년 11월 열린 SDGs포럼에서울대 교수들이 참여했습니다."
18,한국,Kyungpook,경북대학교가 과학기술정보통신부와 한국과학기술연구원 취업진흥원이 추진하는 2020년 '지역산업연계대학 오픈랩 육성 지원사업'에 선정됐다. 경북대학교는 우수한 기술을 국내 기업과 10개월간 연계해 성공적인 기술사업화 추진을 위해 약 11억원을 지원받는다. '지역 산학연계 대학 오픈랩 활성화 지원사업'은 지역 대학과 기업 간 협력을 통해 수요기반 연구·인력 맞춤형 기술 사업화 플랫폼을 구축하는 사업이다. 관건은 개별 연구소가 아닌 기술사업화 전담조직에서 자체적으로 예산집행의 자율성을 부여하고 성공적인 기술사업화 포트폴리오를 제안하는 것이다.,17,경북대학교가 과학기술정보통신부와 한국과학기술연구원 취업진흥원이 추진하는 2020년 지역 산업 연계대학 오픈랩 육성지원사업에 선정됐다. 경북대학교는 우수한 기술을 국내 기업과 10개월간 연계해 성공적인 기술사업화 추진을 위해 약 11억원을 지원받는다.지역 산학연계대학 오픈랩 활성화 지원사업은 지역 대학과 기업 간 협력을 통해 수요기반 연구인력 맞춤형 기술사업화 플랫폼을 구축하는 사업이다.관건은 개별 연구소가 아닌 기술사업화 전담조직에서자 체적으로 예산 집행의 자율성을 부여하고 성공적인 기술사업화 포트폴리오를 제안하는 것이다.,5,경북대학교가 과학기술정보통신부와 한국과학기술연구원 취업진흥원이 추진하는 2020년 지역 산업 연계대학 오픈랩 육성지원사업에 선정됐다. 경북대학교는 우수한 기술을 국내 기업과 10개월간 연계해 성공적인 기술사업화 추진을 위해 약 11억원을 지원받는다
20,한국,Kyungpook,경북대학교가 과학기술정보통신부와 한국과학기술연구원 취업진흥원이 추진하는 2020년 '지역산업연계대학 오픈랩 육성 지원사업'에 선정됐다. 경북대학교는 우수한 기술을 국내 기업과 10개월간 연계해 성공적인 기술사업화 추진을 위해 약 11억원을 지원받는다. '지역 산학연계 대학 오픈랩 활성화 지원사업'은 지역 대학과 기업 간 협력을 통해 수요기반 연구·인력 맞춤형 기술 사업화 플랫폼을 구축하는 사업이다. 관건은 개별 연구소가 아닌 기술사업화 전담조직에서 자체적으로 예산집행의 자율성을 부여하고 성공적인 기술사업화 포트폴리오를 제안하는 것이다.,17,경북대학교가 과학기술정보통신부와 한국과학기술연구원 취업진흥원이 추진하는 2020년 지역 산업 연계대학 오픈랩 육성지원사업에 선정됐다. 경북대학교는 우수한 기술을 국내 기업과 10개월간 연계해 성공적인 기술사업화 추진을 위해 약 11억원을 지원받는다.지역 산학연계대학 오픈랩 활성화 지원사업은 지역 대학과 기업 간 협력을 통해 수요기반 연구인력 맞춤형 기술사업화 플랫폼을 구축하는 사업이다.관건은 개별 연구소가 아닌 기술사업화 전담조직에서자 체적으로 예산 집행의 자율성을 부여하고 성공적인 기술사업화 포트폴리오를 제안하는 것이다.,5,경북대학교가 과학기술정보통신부와 한국과학기술연구원 취업진흥원이 추진하는 2020년 지역 산업 연계대학 오픈랩 육성지원사업에 선정됐다. 경북대학교는 우수한 기술을 국내 기업과 10개월간 연계해 성공적인 기술사업화 추진을 위해 약 11억원을 지원받는다
9,한국,Kangwon,코로나19 시대에 국제개발협력 동향 등과 같은 궁금증 논의를 위한 NGO 협력 좌담회 개최,17,코로나 19시대에 국제개발협력 동향 등과 같은 궁금증 논의를 위한 NGO 협력좌담회 개최,5,코로나 19시대에 국제개발협력 동향 등과 같은 궁금증 논의를 위한 NGO 협력좌담회 개최
